area_code,reference_area,area_type,year,measure_type,value,units
S12000017,Highland,Local Authority,2003,Ratio,9.8,Percent Of 16 to 19 Year Olds
S12000042,Dundee City,Local Authority,2003,Ratio,13.4,Percent Of 16 to 19 Year Olds
S12000039,West Dunbartonshire,Local Authority,2003,Ratio,12.1,Percent Of 16 to 19 Year Olds
S12000040,West Lothian,Local Authority,2003,Ratio,11.6,Percent Of 16 to 19 Year Olds
S12000029,South Lanarkshire,Local Authority,2003,Count,1580,16 to 19 Year Olds
S12000041,Angus,Local Authority,2003,Ratio,10.7,Percent Of 16 to 19 Year Olds
S12000030,Stirling,Local Authority,2003,Count,440,16 to 19 Year Olds
S12000047,Fife,Local Authority,2003,Ratio,12.3,Percent Of 16 to 19 Year Olds
S12000048,Perth and Kinross,Local Authority,2003,Ratio,7.6,Percent Of 16 to 19 Year Olds
S12000014,Falkirk,Local Authority,2003,Ratio,13.8,Percent Of 16 to 19 Year Olds
S12000039,West Dunbartonshire,Local Authority,2003,Count,630,16 to 19 Year Olds
S12000020,Moray,Local Authority,2003,Ratio,8.4,Percent Of 16 to 19 Year Olds
S12000026,Scottish Borders,Local Authority,2003,Count,330,16 to 19 Year Olds
S12000028,South Ayrshire,Local Authority,2003,Count,590,16 to 19 Year Olds
S12000040,West Lothian,Local Authority,2003,Count,950,16 to 19 Year Olds
S12000033,Aberdeen City,Local Authority,2003,Count,1020,16 to 19 Year Olds
S12000035,Argyll and Bute,Local Authority,2003,Ratio,8.9,Percent Of 16 to 19 Year Olds
S12000028,South Ayrshire,Local Authority,2003,Ratio,11,Percent Of 16 to 19 Year Olds
