FeatureCode,DateCode,Measurement,Units,Value
S12000023,2015,Count,People,21112
S12000023,2016,Count,People,21268
S12000023,2017,Count,People,21476
S12000023,2019,Count,People,21837
S12000023,2013,Count,People,20952
S12000023,2009,Count,People,20390
S12000023,2008,Count,People,20306
S12000023,2010,Count,People,20611
S12000023,2012,Count,People,20808
S12000023,2014,Count,People,21020
S12000023,2007,Count,People,20242
S12000026,2010,Count,People,116288
S12000026,2019,Count,People,119494
S12000026,2007,Count,People,114678
S12000026,2011,Count,People,116168
S12000026,2017,Count,People,118318
S12000026,2008,Count,People,115829
S12000026,2018,Count,People,118921
S12000026,2009,Count,People,116227
S12000026,2015,Count,People,116760
S12000026,2013,Count,People,116633
S12000026,2014,Count,People,116744
S12000026,2012,Count,People,116282
S12000026,2016,Count,People,117583
S12000027,2016,Count,People,23062
S12000027,2011,Count,People,22808
S12000027,2007,Count,People,22241
S12000027,2015,Count,People,23045
S12000027,2010,Count,People,22764
S12000027,2017,Count,People,22973
S12000027,2018,Count,People,22958
S12000027,2008,Count,People,22281
S12000027,2009,Count,People,22621
S12000027,2013,Count,People,22886
S12000027,2014,Count,People,22982
S12000027,2019,Count,People,22982
S12000027,2012,Count,People,22841
S12000028,2016,Count,People,113322
S12000028,2017,Count,People,113810
S12000028,2012,Count,People,113578
S12000028,2013,Count,People,113387
S12000028,2014,Count,People,113058
S12000028,2008,Count,People,114005
S12000028,2009,Count,People,113602
S12000028,2015,Count,People,113003
S12000028,2010,Count,People,113664
S12000028,2007,Count,People,114013
S12000028,2011,Count,People,113620
S12000028,2019,Count,People,114169
S12000028,2018,Count,People,113957
S12000029,2011,Count,People,323813
S12000029,2012,Count,People,324520
S12000029,2009,Count,People,321372
S12000029,2019,Count,People,337253
S12000029,2010,Count,People,323280
S12000029,2013,Count,People,325662
S12000029,2014,Count,People,326954
S12000029,2016,Count,People,330422
S12000029,2007,Count,People,319680
S12000029,2018,Count,People,334581
S12000029,2015,Count,People,328719
S12000029,2008,Count,People,320765
S12000029,2017,Count,People,332507
S12000030,2019,Count,People,100528
S12000030,2015,Count,People,99178
S12000030,2007,Count,People,96635
S12000030,2010,Count,People,96782
S12000030,2011,Count,People,97046
S12000030,2018,Count,People,100423
S12000030,2016,Count,People,99526
S12000030,2008,Count,People,96761
S12000030,2012,Count,People,96529
S12000030,2009,Count,People,96930
S12000030,2014,Count,People,98335
S12000030,2017,Count,People,100273
S12000030,2013,Count,People,97286
S12000033,2013,Count,People,249709
S12000033,2019,Count,People,254516
S12000033,2008,Count,People,241435
S12000033,2011,Count,People,246324
S12000033,2014,Count,People,252450
S12000033,2007,Count,People,240706
S12000033,2016,Count,People,252871
S12000033,2010,Count,People,244966
S12000033,2009,Count,People,243930
S12000033,2018,Count,People,253776
S12000033,2012,Count,People,248693
S12000033,2015,Count,People,253271
S12000033,2017,Count,People,253155
S12000034,2015,Count,People,250286
S12000034,2012,Count,People,242458
S12000034,2018,Count,People,250348
S12000034,2017,Count,People,250378
S12000034,2007,Count,People,233886
S12000034,2019,Count,People,250258
S12000034,2008,Count,People,235635
S12000034,2009,Count,People,237232
S12000034,2016,Count,People,250485
S12000034,2010,Count,People,239170
S12000034,2011,Count,People,240416
S12000034,2013,Count,People,245035
S12000034,2014,Count,People,248365
S12000035,2011,Count,People,88981
S12000035,2013,Count,People,88669
S12000035,2010,Count,People,89190
S12000035,2008,Count,People,89720
S12000035,2015,Count,People,88336
S12000035,2019,Count,People,88699
S12000035,2016,Count,People,88613
S12000035,2007,Count,People,89823
S12000035,2014,Count,People,88640
S12000035,2009,Count,People,89377
S12000035,2012,Count,People,88746
S12000035,2017,Count,People,88847
S12000035,2018,Count,People,88694
S12000036,2013,Count,People,529512
S12000036,2015,Count,People,539567
S12000036,2008,Count,People,501973
S12000036,2007,Count,People,501571
S12000036,2018,Count,People,566678
S12000036,2017,Count,People,548834
S12000036,2016,Count,People,540790
S12000036,2014,Count,People,534626
S12000036,2019,Count,People,575113
S12000036,2011,Count,People,515868
S12000036,2012,Count,People,523454
S12000036,2009,Count,People,509201
S12000036,2010,Count,People,514660
S12000038,2009,Count,People,178239
S12000038,2016,Count,People,179403
S12000038,2015,Count,People,178132
S12000038,2017,Count,People,180829
S12000038,2011,Count,People,177855
S12000038,2012,Count,People,177565
S12000038,2013,Count,People,177194
S12000038,2007,Count,People,177766
S12000038,2019,Count,People,183610
S12000038,2008,Count,People,178450
S12000038,2010,Count,People,178514
S12000038,2014,Count,People,177830
S12000038,2018,Count,People,181943
S12000041,2009,Count,People,115254
S12000041,2007,Count,People,113954
S12000041,2019,Count,People,119324
S12000041,2014,Count,People,117400
S12000041,2015,Count,People,117834
S12000041,2012,Count,People,116469
S12000041,2017,Count,People,118162
S12000041,2013,Count,People,116587
S12000041,2016,Count,People,117870
S12000041,2010,Count,People,115698
S12000041,2008,Count,People,114574
S12000041,2018,Count,People,118591
S12000041,2011,Count,People,116034
S12000042,2009,Count,People,161107
S12000042,2015,Count,People,161750
S12000042,2019,Count,People,162736
S12000042,2017,Count,People,162408
S12000042,2010,Count,People,160672
S12000042,2012,Count,People,161608
S12000042,2007,Count,People,160375
S12000042,2014,Count,People,161689
S12000042,2008,Count,People,160303
S12000042,2018,Count,People,162716
S12000042,2016,Count,People,162012
S12000042,2011,Count,People,162042
S12000042,2013,Count,People,160737
S12000045,2014,Count,People,103583
S12000045,2016,Count,People,105262
S12000045,2011,Count,People,102008
S12000045,2007,Count,People,101915
S12000045,2015,Count,People,104416
S12000045,2013,Count,People,102716
S12000045,2010,Count,People,102042
S12000045,2009,Count,People,101905
S12000045,2012,Count,People,102433
S12000045,2017,Count,People,106120
S12000045,2019,Count,People,108278
S12000045,2008,Count,People,101892
S12000045,2018,Count,People,107193
S08000015,2009,Count,People,387717
S08000015,2015,Count,People,384703
S08000015,2014,Count,People,385131
S08000015,2011,Count,People,387485
S08000015,2017,Count,People,385629
S08000015,2008,Count,People,388417
S08000015,2013,Count,People,386023
S08000015,2010,Count,People,387708
S08000015,2016,Count,People,385039
S08000015,2012,Count,People,386797
S08000015,2018,Count,People,385540
S08000015,2007,Count,People,387594
S08000015,2019,Count,People,385715
S08000016,2008,Count,People,115829
S08000016,2007,Count,People,114678
S08000016,2014,Count,People,116744
S08000016,2016,Count,People,117583
S08000016,2010,Count,People,116288
S08000016,2019,Count,People,119494
S08000016,2011,Count,People,116168
S08000016,2017,Count,People,118318
S08000016,2018,Count,People,118921
S08000016,2013,Count,People,116633
S08000016,2015,Count,People,116760
S08000016,2012,Count,People,116282
S08000016,2009,Count,People,116227
S08000017,2009,Count,People,155406
S08000017,2008,Count,People,155551
S08000017,2016,Count,People,154188
S08000017,2007,Count,People,154771
S08000017,2015,Count,People,154115
S08000017,2019,Count,People,154430
S08000017,2010,Count,People,155397
S08000017,2018,Count,People,154306
S08000017,2012,Count,People,154898
S08000017,2013,Count,People,154310
S08000017,2014,Count,People,154188
S08000017,2017,Count,People,154307
S08000017,2011,Count,People,155378
S08000019,2010,Count,People,309086
S08000019,2015,Count,People,316244
S08000019,2016,Count,People,317641
S08000019,2011,Count,People,310431
S08000019,2018,Count,People,320595
S08000019,2008,Count,People,307271
S08000019,2012,Count,People,310438
