area_code,reference_area,area_type,year,value,units
S12000026,Scottish Borders,Local Authority,2014,116744,People
S12000026,Scottish Borders,Local Authority,2012,116282,People
S12000026,Scottish Borders,Local Authority,2016,117583,People
S12000027,Shetland Islands,Local Authority,2016,23062,People
S12000027,Shetland Islands,Local Authority,2011,22808,People
S12000027,Shetland Islands,Local Authority,2007,22241,People
S12000027,Shetland Islands,Local Authority,2015,23045,People
S12000027,Shetland Islands,Local Authority,2010,22764,People
S12000027,Shetland Islands,Local Authority,2017,22973,People
S12000027,Shetland Islands,Local Authority,2018,22958,People
S12000027,Shetland Islands,Local Authority,2008,22281,People
S12000027,Shetland Islands,Local Authority,2009,22621,People
S12000027,Shetland Islands,Local Authority,2013,22886,People
S12000027,Shetland Islands,Local Authority,2014,22982,People
S12000027,Shetland Islands,Local Authority,2019,22982,People
S12000027,Shetland Islands,Local Authority,2012,22841,People
S12000028,South Ayrshire,Local Authority,2016,113322,People
S12000028,South Ayrshire,Local Authority,2017,113810,People
S12000028,South Ayrshire,Local Authority,2012,113578,People
S12000028,South Ayrshire,Local Authority,2013,113387,People
S12000028,South Ayrshire,Local Authority,2014,113058,People
S12000028,South Ayrshire,Local Authority,2008,114005,People
S12000028,South Ayrshire,Local Authority,2009,113602,People
S12000028,South Ayrshire,Local Authority,2015,113003,People
S12000028,South Ayrshire,Local Authority,2010,113664,People
S12000028,South Ayrshire,Local Authority,2007,114013,People
S12000028,South Ayrshire,Local Authority,2011,113620,People
S12000028,South Ayrshire,Local Authority,2019,114169,People
S12000028,South Ayrshire,Local Authority,2018,113957,People
S12000029,South Lanarkshire,Local Authority,2011,323813,People
S12000029,South Lanarkshire,Local Authority,2012,324520,People
S12000029,South Lanarkshire,Local Authority,2009,321372,People
S12000029,South Lanarkshire,Local Authority,2019,337253,People
S12000029,South Lanarkshire,Local Authority,2010,323280,People
S12000029,South Lanarkshire,Local Authority,2013,325662,People
S12000029,South Lanarkshire,Local Authority,2014,326954,People
S12000029,South Lanarkshire,Local Authority,2016,330422,People
S12000029,South Lanarkshire,Local Authority,2007,319680,People
S12000029,South Lanarkshire,Local Authority,2018,334581,People
S12000029,South Lanarkshire,Local Authority,2015,328719,People
S12000029,South Lanarkshire,Local Authority,2008,320765,People
S12000029,South Lanarkshire,Local Authority,2017,332507,People
S12000030,Stirling,Local Authority,2019,100528,People
S12000030,Stirling,Local Authority,2015,99178,People
S12000030,Stirling,Local Authority,2007,96635,People
S12000030,Stirling,Local Authority,2010,96782,People
S12000030,Stirling,Local Authority,2011,97046,People
S12000030,Stirling,Local Authority,2018,100423,People
S12000030,Stirling,Local Authority,2016,99526,People
S12000030,Stirling,Local Authority,2008,96761,People
S12000030,Stirling,Local Authority,2012,96529,People
S12000030,Stirling,Local Authority,2009,96930,People
S12000030,Stirling,Local Authority,2014,98335,People
S12000030,Stirling,Local Authority,2017,100273,People
S12000030,Stirling,Local Authority,2013,97286,People
S12000033,Aberdeen City,Local Authority,2013,249709,People
S12000033,Aberdeen City,Local Authority,2019,254516,People
S12000033,Aberdeen City,Local Authority,2008,241435,People
S12000033,Aberdeen City,Local Authority,2011,246324,People
S12000033,Aberdeen City,Local Authority,2014,252450,People
S12000033,Aberdeen City,Local Authority,2007,240706,People
S12000033,Aberdeen City,Local Authority,2016,252871,People
S12000033,Aberdeen City,Local Authority,2010,244966,People
S12000033,Aberdeen City,Local Authority,2009,243930,People
S12000033,Aberdeen City,Local Authority,2018,253776,People
S12000033,Aberdeen City,Local Authority,2012,248693,People
S12000033,Aberdeen City,Local Authority,2015,253271,People
S12000033,Aberdeen City,Local Authority,2017,253155,People
S12000034,Aberdeenshire,Local Authority,2015,250286,People
S12000034,Aberdeenshire,Local Authority,2012,242458,People
S12000034,Aberdeenshire,Local Authority,2018,250348,People
S12000034,Aberdeenshire,Local Authority,2017,250378,People
S12000034,Aberdeenshire,Local Authority,2007,233886,People
S12000034,Aberdeenshire,Local Authority,2019,250258,People
S12000034,Aberdeenshire,Local Authority,2008,235635,People
S12000034,Aberdeenshire,Local Authority,2009,237232,People
S12000034,Aberdeenshire,Local Authority,2016,250485,People
S12000034,Aberdeenshire,Local Authority,2010,239170,People
S12000034,Aberdeenshire,Local Authority,2011,240416,People
S12000034,Aberdeenshire,Local Authority,2013,245035,People
S12000034,Aberdeenshire,Local Authority,2014,248365,People
S12000035,Argyll and Bute,Local Authority,2011,88981,People
S12000035,Argyll and Bute,Local Authority,2013,88669,People
S12000035,Argyll and Bute,Local Authority,2010,89190,People
S12000035,Argyll and Bute,Local Authority,2008,89720,People
S12000035,Argyll and Bute,Local Authority,2015,88336,People
S12000035,Argyll and Bute,Local Authority,2019,88699,People
S12000035,Argyll and Bute,Local Authority,2016,88613,People
S12000035,Argyll and Bute,Local Authority,2007,89823,People
S12000035,Argyll and Bute,Local Authority,2014,88640,People
S12000035,Argyll and Bute,Local Authority,2009,89377,People
S12000035,Argyll and Bute,Local Authority,2012,88746,People
S12000035,Argyll and Bute,Local Authority,2017,88847,People
S12000035,Argyll and Bute,Local Authority,2018,88694,People
S12000036,City of Edinburgh,Local Authority,2013,529512,People
S12000036,City of Edinburgh,Local Authority,2015,539567,People
S12000036,City of Edinburgh,Local Authority,2008,501973,People
S12000036,City of Edinburgh,Local Authority,2007,501571,People
S12000036,City of Edinburgh,Local Authority,2018,566678,People
S12000036,City of Edinburgh,Local Authority,2017,548834,People
S12000036,City of Edinburgh,Local Authority,2016,540790,People
S12000036,City of Edinburgh,Local Authority,2014,534626,People
S12000036,City of Edinburgh,Local Authority,2019,575113,People
S12000036,City of Edinburgh,Local Authority,2011,515868,People
S12000036,City of Edinburgh,Local Authority,2012,523454,People
S12000036,City of Edinburgh,Local Authority,2009,509201,People
S12000036,City of Edinburgh,Local Authority,2010,514660,People
S12000038,Renfrewshire,Local Authority,2009,178239,People
S12000038,Renfrewshire,Local Authority,2016,179403,People
S12000038,Renfrewshire,Local Authority,2015,178132,People
S12000038,Renfrewshire,Local Authority,2017,180829,People
S12000038,Renfrewshire,Local Authority,2011,177855,People
S12000038,Renfrewshire,Local Authority,2012,177565,People
S12000038,Renfrewshire,Local Authority,2013,177194,People
S12000038,Renfrewshire,Local Authority,2007,177766,People
S12000038,Renfrewshire,Local Authority,2019,183610,People
S12000038,Renfrewshire,Local Authority,2008,178450,People
S12000038,Renfrewshire,Local Authority,2010,178514,People
S12000038,Renfrewshire,Local Authority,2014,177830,People
S12000038,Renfrewshire,Local Authority,2018,181943,People
S12000041,Angus,Local Authority,2009,115254,People
S12000041,Angus,Local Authority,2007,113954,People
S12000041,Angus,Local Authority,2019,119324,People
S12000041,Angus,Local Authority,2014,117400,People
S12000041,Angus,Local Authority,2015,117834,People
S12000041,Angus,Local Authority,2012,116469,People
S12000041,Angus,Local Authority,2017,118162,People
S12000041,Angus,Local Authority,2013,116587,People
S12000041,Angus,Local Authority,2016,117870,People
S12000041,Angus,Local Authority,2010,115698,People
S12000041,Angus,Local Authority,2008,114574,People
S12000041,Angus,Local Authority,2018,118591,People
S12000041,Angus,Local Authority,2011,116034,People
S12000042,Dundee City,Local Authority,2009,161107,People
S12000042,Dundee City,Local Authority,2015,161750,People
S12000042,Dundee City,Local Authority,2019,162736,People
S12000042,Dundee City,Local Authority,2017,162408,People
S12000042,Dundee City,Local Authority,2010,160672,People
S12000042,Dundee City,Local Authority,2012,161608,People
S12000042,Dundee City,Local Authority,2007,160375,People
S12000042,Dundee City,Local Authority,2014,161689,People
S12000042,Dundee City,Local Authority,2008,160303,People
S12000042,Dundee City,Local Authority,2018,162716,People
S12000042,Dundee City,Local Authority,2016,162012,People
S12000042,Dundee City,Local Authority,2011,162042,People
S12000042,Dundee City,Local Authority,2013,160737,People
S12000045,East Dunbartonshire,Local Authority,2014,103583,People
S12000045,East Dunbartonshire,Local Authority,2016,105262,People
S12000045,East Dunbartonshire,Local Authority,2011,102008,People
S12000045,East Dunbartonshire,Local Authority,2007,101915,People
S12000045,East Dunbartonshire,Local Authority,2015,104416,People
S12000045,East Dunbartonshire,Local Authority,2013,102716,People
S12000045,East Dunbartonshire,Local Authority,2010,102042,People
S12000045,East Dunbartonshire,Local Authority,2009,101905,People
S12000045,East Dunbartonshire,Local Authority,2012,102433,People
S12000045,East Dunbartonshire,Local Authority,2017,106120,People
S12000045,East Dunbartonshire,Local Authority,2019,108278,People
S12000045,East Dunbartonshire,Local Authority,2008,101892,People
S12000045,East Dunbartonshire,Local Authority,2018,107193,People
S08000015,Ayrshire and Arran,Health Board,2009,387717,People
S08000015,Ayrshire and Arran,Health Board,2015,384703,People
S08000015,Ayrshire and Arran,Health Board,2014,385131,People
S08000015,Ayrshire and Arran,Health Board,2011,387485,People
S08000015,Ayrshire and Arran,Health Board,2017,385629,People
S08000015,Ayrshire and Arran,Health Board,2008,388417,People
S08000015,Ayrshire and Arran,Health Board,2013,386023,People
S08000015,Ayrshire and Arran,Health Board,2010,387708,People
S08000015,Ayrshire and Arran,Health Board,2016,385039,People
S08000015,Ayrshire and Arran,Health Board,2012,386797,People
S08000015,Ayrshire and Arran,Health Board,2018,385540,People
S08000015,Ayrshire and Arran,Health Board,2007,387594,People
S08000015,Ayrshire and Arran,Health Board,2019,385715,People
S08000016,Borders,Health Board,2008,115829,People
S08000016,Borders,Health Board,2007,114678,People
S08000016,Borders,Health Board,2014,116744,People
S08000016,Borders,Health Board,2016,117583,People
S08000016,Borders,Health Board,2010,116288,People
S08000016,Borders,Health Board,2019,119494,People
S08000016,Borders,Health Board,2011,116168,People
S08000016,Borders,Health Board,2017,118318,People
S08000016,Borders,Health Board,2018,118921,People
S08000016,Borders,Health Board,2013,116633,People
S08000016,Borders,Health Board,2015,116760,People
S08000016,Borders,Health Board,2012,116282,People
S08000016,Borders,Health Board,2009,116227,People
S08000017,Dumfries and Galloway,Health Board,2009,155406,People
S08000017,Dumfries and Galloway,Health Board,2008,155551,People
S08000017,Dumfries and Galloway,Health Board,2016,154188,People
S08000017,Dumfries and Galloway,Health Board,2007,154771,People
S08000017,Dumfries and Galloway,Health Board,2015,154115,People
S08000017,Dumfries and Galloway,Health Board,2019,154430,People
S08000017,Dumfries and Galloway,Health Board,2010,155397,People
S08000017,Dumfries and Galloway,Health Board,2018,154306,People
S08000017,Dumfries and Galloway,Health Board,2012,154898,People
S08000017,Dumfries and Galloway,Health Board,2013,154310,People
S08000017,Dumfries and Galloway,Health Board,2014,154188,People
S08000017,Dumfries and Galloway,Health Board,2017,154307,People
S08000017,Dumfries and Galloway,Health Board,2011,155378,People
S08000019,Forth Valley,Health Board,2010,309086,People
S08000019,Forth Valley,Health Board,2015,316244,People
S08000019,Forth Valley,Health Board,2016,317641,People
S08000019,Forth Valley,Health Board,2011,310431,People
S08000019,Forth Valley,Health Board,2018,320595,People
S08000019,Forth Valley,Health Board,2008,307271,People
S08000019,Forth Valley,Health Board,2012,310438,People
S08000019,Forth Valley,Health Board,2019,321390,People
S08000019,Forth Valley,Health Board,2007,305466,People
S08000019,Forth Valley,Health Board,2017,319774,People
S08000019,Forth Valley,Health Board,2013,311937,People
S08000019,Forth Valley,Health Board,2014,313862,People
S08000019,Forth Valley,Health Board,2009,308261,People
S08000020,Grampian,Health Board,2008,565815,People
S08000020,Grampian,Health Board,2018,597542,People
S08000020,Grampian,Health Board,2015,595804,People
S08000020,Grampian,Health Board,2012,581198,People
S08000020,Grampian,Health Board,2010,573616,People
S08000020,Grampian,Health Board,2011,576295,People
S08000020,Grampian,Health Board,2019,598577,People
S08000020,Grampian,Health Board,2009,570526,People
S08000020,Grampian,Health Board,2013,585615,People
S08000020,Grampian,Health Board,2014,592595,People
S08000020,Grampian,Health Board,2016,595927,People
S08000020,Grampian,Health Board,2017,596531,People
S08000020,Grampian,Health Board,2007,562815,People
S08000022,Highland,Health Board,2016,326698,People
S08000022,Highland,Health Board,2010,322651,People
S08000022,Highland,Health Board,2018,329167,People
S08000022,Highland,Health Board,2011,322972,People
S08000022,Highland,Health Board,2007,319000,People
S08000022,Highland,Health Board,2012,323061,People
S08000022,Highland,Health Board,2013,323524,People
S08000022,Highland,Health Board,2017,327832,People
S08000022,Highland,Health Board,2008,321746,People
S08000022,Highland,Health Board,2019,330095,People
S08000022,Highland,Health Board,2009,321998,People
S08000022,Highland,Health Board,2014,324107,People
S08000022,Highland,Health Board,2015,325237,People
S08000024,Lothian,Health Board,2007,859145,People
S08000024,Lothian,Health Board,2015,920562,People
S08000024,Lothian,Health Board,2014,911934,People
S08000024,Lothian,Health Board,2011,885930,People
S08000024,Lothian,Health Board,2016,931486,People
S08000024,Lothian,Health Board,2017,943826,People
S08000024,Lothian,Health Board,2013,903155,People
S08000024,Lothian,Health Board,2019,970535,People
S08000024,Lothian,Health Board,2008,864066,People
S08000024,Lothian,Health Board,2009,874352,People
S08000024,Lothian,Health Board,2012,894502,People
S08000024,Lothian,Health Board,2018,957638,People
S08000024,Lothian,Health Board,2010,881658,People
S08000025,Orkney,Health Board,2019,21837,People
S08000025,Orkney,Health Board,2018,21711,People
S08000025,Orkney,Health Board,2008,20306,People
S08000025,Orkney,Health Board,2013,20952,People
S08000025,Orkney,Health Board,2016,21268,People
S08000025,Orkney,Health Board,2011,20618,People
S08000025,Orkney,Health Board,2007,20242,People
S08000025,Orkney,Health Board,2014,21020,People
S08000025,Orkney,Health Board,2015,21112,People
S08000025,Orkney,Health Board,2012,20808,People
S08000025,Orkney,Health Board,2009,20390,People
S08000025,Orkney,Health Board,2017,21476,People
S08000025,Orkney,Health Board,2010,20611,People
S08000026,Shetland,Health Board,2016,23062,People
S08000026,Shetland,Health Board,2008,22281,People
S08000026,Shetland,Health Board,2009,22621,People
S08000026,Shetland,Health Board,2018,22958,People
S08000026,Shetland,Health Board,2014,22982,People
S08000026,Shetland,Health Board,2010,22764,People
S08000026,Shetland,Health Board,2017,22973,People
S08000026,Shetland,Health Board,2015,23045,People
S08000026,Shetland,Health Board,2011,22808,People
S08000026,Shetland,Health Board,2019,22982,People
S08000026,Shetland,Health Board,2013,22886,People
S08000026,Shetland,Health Board,2007,22241,People
S08000026,Shetland,Health Board,2012,22841,People
S08000028,Western Isles,Health Board,2019,26889,People
S08000028,Western Isles,Health Board,2009,27554,People
S08000028,Western Isles,Health Board,2014,27099,People
S08000028,Western Isles,Health Board,2017,26961,People
S08000028,Western Isles,Health Board,2013,27204,People
S08000028,Western Isles,Health Board,2008,27654,People
S08000028,Western Isles,Health Board,2007,27696,People
S08000028,Western Isles,Health Board,2011,27376,People
S08000028,Western Isles,Health Board,2018,26941,People
S08000028,Western Isles,Health Board,2016,26836,People
S08000028,Western Isles,Health Board,2010,27485,People
S08000028,Western Isles,Health Board,2012,27284,People
S08000028,Western Isles,Health Board,2015,26967,People
S12000047,Fife,Local Authority,2018,383709,People
S12000047,Fife,Local Authority,2016,381238,People
S12000047,Fife,Local Authority,2011,376673,People
S12000047,Fife,Local Authority,2013,378147,People
S12000047,Fife,Local Authority,2009,373964,People
S12000047,Fife,Local Authority,2012,377042,People
S12000047,Fife,Local Authority,2015,379903,People
S12000047,Fife,Local Authority,2014,379214,People
S12000047,Fife,Local Authority,2008,372984,People
S12000047,Fife,Local Authority,2017,382294,People
S12000047,Fife,Local Authority,2007,369414,People
S12000047,Fife,Local Authority,2010,375574,People
S12000047,Fife,Local Authority,2019,385734,People
S12000048,Perth and Kinross,Local Authority,2012,144140,People
S12000048,Perth and Kinross,Local Authority,2014,145439,People
S12000048,Perth and Kinross,Local Authority,2007,140049,People
S12000048,Perth and Kinross,Local Authority,2008,141041,People
S12000048,Perth and Kinross,Local Authority,2011,143781,People
S12000048,Perth and Kinross,Local Authority,2013,144292,People
S12000048,Perth and Kinross,Local Authority,2017,147134,People
S12000048,Perth and Kinross,Local Authority,2016,146308,People
S12000048,Perth and Kinross,Local Authority,2009,142097,People
S12000048,Perth and Kinross,Local Authority,2015,145630,People
S12000048,Perth and Kinross,Local Authority,2019,149095,People
S12000048,Perth and Kinross,Local Authority,2010,143026,People
S12000048,Perth and Kinross,Local Authority,2018,147946,People
S08000029,Fife,Health Board,2014,379214,People
S08000029,Fife,Health Board,2010,375574,People
S08000029,Fife,Health Board,2011,376673,People
S08000029,Fife,Health Board,2009,373964,People
S08000029,Fife,Health Board,2019,385734,People
S08000029,Fife,Health Board,2015,379903,People
S08000029,Fife,Health Board,2017,382294,People
S08000029,Fife,Health Board,2007,369414,People
S08000029,Fife,Health Board,2018,383709,People
S08000029,Fife,Health Board,2012,377042,People
S08000029,Fife,Health Board,2013,378147,People
S08000029,Fife,Health Board,2008,372984,People
S08000029,Fife,Health Board,2016,381238,People
S08000030,Tayside,Health Board,2019,431155,People
S08000030,Tayside,Health Board,2007,414378,People
S08000030,Tayside,Health Board,2011,421857,People
S08000030,Tayside,Health Board,2008,415918,People
