area_code,reference_area,area_type,ref_period,measure_type,value,units
S12000048,Perth and Kinross,Local Authority,2008-2009,Count,833,Persons
S12000048,Perth and Kinross,Local Authority,2009-2010,Count,715,Persons
S12000048,Perth and Kinross,Local Authority,2010-2011,Count,711,Persons
S12000048,Perth and Kinross,Local Authority,2011-2012,Count,700,Persons
S12000048,Perth and Kinross,Local Authority,2012-2013,Count,641,Persons
S12000048,Perth and Kinross,Local Authority,1997-1998,Count,496,Persons
S12000048,Perth and Kinross,Local Authority,1998-1999,Count,540,Persons
S12000048,Perth and Kinross,Local Authority,1999-2000,Count,630,Persons
S12000048,Perth and Kinross,Local Authority,2000-2001,Count,713,Persons
S12000048,Perth and Kinross,Local Authority,2001-2002,Count,710,Persons
S12000048,Perth and Kinross,Local Authority,2002-2003,Count,758,Persons
S12000048,Perth and Kinross,Local Authority,2003-2004,Count,796,Persons
S12000048,Perth and Kinross,Local Authority,2004-2005,Count,713,Persons
S12000048,Perth and Kinross,Local Authority,2005-2006,Count,704,Persons
S12000048,Perth and Kinross,Local Authority,2006-2007,Count,834,Persons
S12000048,Perth and Kinross,Local Authority,2007-2008,Count,795,Persons
S12000048,Perth and Kinross,Local Authority,2013-2014,Count,530,Persons
S12000048,Perth and Kinross,Local Authority,2014-2015,Count,599,Persons
S12000048,Perth and Kinross,Local Authority,2015-2016,Count,500,Persons
S12000005,Clackmannanshire,Local Authority,2016-2017,Count,261,Persons
S12000005,Clackmannanshire,Local Authority,1997-1998,EASR,473,
S12000005,Clackmannanshire,Local Authority,1998-1999,EASR,634.8,
S12000005,Clackmannanshire,Local Authority,1999-2000,EASR,475.5,
S12000005,Clackmannanshire,Local Authority,2000-2001,EASR,534.1,
S12000005,Clackmannanshire,Local Authority,2001-2002,EASR,570.9,
S12000005,Clackmannanshire,Local Authority,2002-2003,EASR,685.4,
S12000005,Clackmannanshire,Local Authority,2003-2004,EASR,555,
S12000005,Clackmannanshire,Local Authority,2004-2005,EASR,454.8,
S12000005,Clackmannanshire,Local Authority,2005-2006,EASR,417.8,
S12000005,Clackmannanshire,Local Authority,2006-2007,EASR,498.4,
S12000005,Clackmannanshire,Local Authority,2007-2008,EASR,587.6,
S12000005,Clackmannanshire,Local Authority,2008-2009,EASR,532.3,
S12000005,Clackmannanshire,Local Authority,2009-2010,EASR,497.7,
S12000005,Clackmannanshire,Local Authority,2010-2011,EASR,441.2,
S12000005,Clackmannanshire,Local Authority,2011-2012,EASR,497.5,
S12000005,Clackmannanshire,Local Authority,2012-2013,EASR,502.6,
S12000005,Clackmannanshire,Local Authority,2013-2014,EASR,505.4,
S12000005,Clackmannanshire,Local Authority,2014-2015,EASR,491.8,
S12000005,Clackmannanshire,Local Authority,2015-2016,EASR,509,
S12000005,Clackmannanshire,Local Authority,2016-2017,EASR,503.6,
S12000006,Dumfries and Galloway,Local Authority,2016-2017,Count,666,Persons
S12000006,Dumfries and Galloway,Local Authority,1997-1998,EASR,458.4,
S12000006,Dumfries and Galloway,Local Authority,1998-1999,EASR,509.6,
S12000006,Dumfries and Galloway,Local Authority,1999-2000,EASR,480.3,
S12000006,Dumfries and Galloway,Local Authority,2000-2001,EASR,558.4,
S12000006,Dumfries and Galloway,Local Authority,2001-2002,EASR,522,
S12000006,Dumfries and Galloway,Local Authority,2002-2003,EASR,553.5,
S12000006,Dumfries and Galloway,Local Authority,2003-2004,EASR,549.2,
S12000006,Dumfries and Galloway,Local Authority,2004-2005,EASR,533.6,
S12000006,Dumfries and Galloway,Local Authority,2005-2006,EASR,517.9,
S12000006,Dumfries and Galloway,Local Authority,2006-2007,EASR,482.8,
S12000006,Dumfries and Galloway,Local Authority,2007-2008,EASR,571.7,
S12000006,Dumfries and Galloway,Local Authority,2008-2009,EASR,560.4,
S12000006,Dumfries and Galloway,Local Authority,2009-2010,EASR,524.1,
S12000006,Dumfries and Galloway,Local Authority,2010-2011,EASR,523.5,
S12000006,Dumfries and Galloway,Local Authority,2011-2012,EASR,498.4,
S12000006,Dumfries and Galloway,Local Authority,2012-2013,EASR,486.2,
S12000006,Dumfries and Galloway,Local Authority,2013-2014,EASR,519.2,
S12000006,Dumfries and Galloway,Local Authority,2014-2015,EASR,410,
S12000006,Dumfries and Galloway,Local Authority,2015-2016,EASR,461.8,
S12000006,Dumfries and Galloway,Local Authority,2016-2017,EASR,448.6,
S12000008,East Ayrshire,Local Authority,2016-2017,Count,889,Persons
S12000008,East Ayrshire,Local Authority,1997-1998,EASR,691.1,
S12000008,East Ayrshire,Local Authority,1998-1999,EASR,688.1,
S12000008,East Ayrshire,Local Authority,1999-2000,EASR,686.4,
S12000008,East Ayrshire,Local Authority,2000-2001,EASR,693.4,
S12000008,East Ayrshire,Local Authority,2001-2002,EASR,809.6,
S12000008,East Ayrshire,Local Authority,2002-2003,EASR,983.6,
S12000008,East Ayrshire,Local Authority,2003-2004,EASR,880.4,
S12000008,East Ayrshire,Local Authority,2004-2005,EASR,960,
S12000008,East Ayrshire,Local Authority,2005-2006,EASR,1030.7,
S12000008,East Ayrshire,Local Authority,2006-2007,EASR,1068.9,
S12000008,East Ayrshire,Local Authority,2007-2008,EASR,1086.3,
S12000008,East Ayrshire,Local Authority,2008-2009,EASR,982.8,
S12000008,East Ayrshire,Local Authority,2009-2010,EASR,967.2,
S12000008,East Ayrshire,Local Authority,2010-2011,EASR,980.9,
S12000008,East Ayrshire,Local Authority,2011-2012,EASR,925.3,
S12000008,East Ayrshire,Local Authority,2012-2013,EASR,819.2,
S12000008,East Ayrshire,Local Authority,2013-2014,EASR,803.9,
S12000008,East Ayrshire,Local Authority,2014-2015,EASR,746.5,
S12000008,East Ayrshire,Local Authority,2015-2016,EASR,663.3,
S12000008,East Ayrshire,Local Authority,2016-2017,EASR,737,
S12000010,East Lothian,Local Authority,2016-2017,Count,399,Persons
S12000010,East Lothian,Local Authority,1997-1998,EASR,439.6,
S12000010,East Lothian,Local Authority,1998-1999,EASR,396.7,
S12000010,East Lothian,Local Authority,1999-2000,EASR,458.6,
S12000010,East Lothian,Local Authority,2000-2001,EASR,449.8,
S12000010,East Lothian,Local Authority,2001-2002,EASR,469.1,
S12000010,East Lothian,Local Authority,2002-2003,EASR,462.6,
S12000010,East Lothian,Local Authority,2003-2004,EASR,477.3,
S12000010,East Lothian,Local Authority,2004-2005,EASR,575.2,
S12000010,East Lothian,Local Authority,2005-2006,EASR,518.8,
S12000010,East Lothian,Local Authority,2006-2007,EASR,633.2,
S12000010,East Lothian,Local Authority,2007-2008,EASR,684.3,
S12000010,East Lothian,Local Authority,2008-2009,EASR,629.6,
S12000010,East Lothian,Local Authority,2009-2010,EASR,464,
S12000010,East Lothian,Local Authority,2010-2011,EASR,588.4,
S12000010,East Lothian,Local Authority,2011-2012,EASR,545.9,
S12000010,East Lothian,Local Authority,2012-2013,EASR,449.6,
S12000010,East Lothian,Local Authority,2013-2014,EASR,444.8,
S12000010,East Lothian,Local Authority,2014-2015,EASR,464.2,
S12000010,East Lothian,Local Authority,2015-2016,EASR,424.4,
S12000010,East Lothian,Local Authority,2016-2017,EASR,378.8,
S12000011,East Renfrewshire,Local Authority,2016-2017,Count,364,Persons
S12000011,East Renfrewshire,Local Authority,1997-1998,EASR,324,
S12000011,East Renfrewshire,Local Authority,1998-1999,EASR,349.9,
S12000011,East Renfrewshire,Local Authority,1999-2000,EASR,364.2,
S12000011,East Renfrewshire,Local Authority,2000-2001,EASR,370.2,
S12000011,East Renfrewshire,Local Authority,2001-2002,EASR,434.5,
S12000011,East Renfrewshire,Local Authority,2002-2003,EASR,400.3,
S12000011,East Renfrewshire,Local Authority,2003-2004,EASR,447.6,
S12000011,East Renfrewshire,Local Authority,2004-2005,EASR,623.8,
S12000011,East Renfrewshire,Local Authority,2005-2006,EASR,499.6,
S12000011,East Renfrewshire,Local Authority,2006-2007,EASR,506.3,
S12000011,East Renfrewshire,Local Authority,2007-2008,EASR,556.2,
S12000011,East Renfrewshire,Local Authority,2008-2009,EASR,559.2,
S12000011,East Renfrewshire,Local Authority,2009-2010,EASR,480.3,
S12000011,East Renfrewshire,Local Authority,2010-2011,EASR,425.1,
S12000011,East Renfrewshire,Local Authority,2011-2012,EASR,526.1,
S12000011,East Renfrewshire,Local Authority,2012-2013,EASR,484.4,
S12000011,East Renfrewshire,Local Authority,2013-2014,EASR,440.2,
S12000011,East Renfrewshire,Local Authority,2014-2015,EASR,400.6,
S12000011,East Renfrewshire,Local Authority,2015-2016,EASR,434.3,
S12000011,East Renfrewshire,Local Authority,2016-2017,EASR,414.6,
S12000013,Na h-Eileanan Siar,Local Authority,2016-2017,Count,228,Persons
S12000013,Na h-Eileanan Siar,Local Authority,1997-1998,EASR,972,
S12000013,Na h-Eileanan Siar,Local Authority,1998-1999,EASR,1243.9,
S12000013,Na h-Eileanan Siar,Local Authority,1999-2000,EASR,1493.3,
S12000013,Na h-Eileanan Siar,Local Authority,2000-2001,EASR,1353,
S12000013,Na h-Eileanan Siar,Local Authority,2001-2002,EASR,1494.6,
S12000013,Na h-Eileanan Siar,Local Authority,2002-2003,EASR,1854.7,
S12000013,Na h-Eileanan Siar,Local Authority,2003-2004,EASR,1863.3,
S12000013,Na h-Eileanan Siar,Local Authority,2004-2005,EASR,1595.3,
S12000013,Na h-Eileanan Siar,Local Authority,2005-2006,EASR,1666.3,
S12000013,Na h-Eileanan Siar,Local Authority,2006-2007,EASR,1733.3,
S12000013,Na h-Eileanan Siar,Local Authority,2007-2008,EASR,1338.4,
S12000013,Na h-Eileanan Siar,Local Authority,2008-2009,EASR,1142.1,
S12000013,Na h-Eileanan Siar,Local Authority,2009-2010,EASR,1010,
S12000013,Na h-Eileanan Siar,Local Authority,2010-2011,EASR,1046.6,
S12000013,Na h-Eileanan Siar,Local Authority,2011-2012,EASR,929.9,
S12000013,Na h-Eileanan Siar,Local Authority,2012-2013,EASR,804.2,
S12000013,Na h-Eileanan Siar,Local Authority,2013-2014,EASR,874.6,
S12000013,Na h-Eileanan Siar,Local Authority,2014-2015,EASR,618.1,
S12000013,Na h-Eileanan Siar,Local Authority,2015-2016,EASR,711.2,
S12000013,Na h-Eileanan Siar,Local Authority,2016-2017,EASR,805.8,
S12000014,Falkirk,Local Authority,2016-2017,Count,778,Persons
S12000014,Falkirk,Local Authority,1997-1998,EASR,338.1,
S12000014,Falkirk,Local Authority,1998-1999,EASR,377.6,
S12000014,Falkirk,Local Authority,1999-2000,EASR,400.5,
S12000014,Falkirk,Local Authority,2000-2001,EASR,361.7,
S12000014,Falkirk,Local Authority,2001-2002,EASR,362.2,
S12000014,Falkirk,Local Authority,2002-2003,EASR,406.6,
S12000014,Falkirk,Local Authority,2003-2004,EASR,416.8,
S12000014,Falkirk,Local Authority,2004-2005,EASR,474.6,
S12000014,Falkirk,Local Authority,2005-2006,EASR,377.7,
S12000014,Falkirk,Local Authority,2006-2007,EASR,384.5,
S12000014,Falkirk,Local Authority,2007-2008,EASR,488.3,
S12000014,Falkirk,Local Authority,2008-2009,EASR,485.1,
S12000014,Falkirk,Local Authority,2009-2010,EASR,502.2,
S12000014,Falkirk,Local Authority,2010-2011,EASR,374.7,
S12000014,Falkirk,Local Authority,2011-2012,EASR,424.3,
S12000014,Falkirk,Local Authority,2012-2013,EASR,441.9,
S12000014,Falkirk,Local Authority,2013-2014,EASR,513.7,
S12000014,Falkirk,Local Authority,2014-2015,EASR,520.8,
S12000014,Falkirk,Local Authority,2015-2016,EASR,528.2,
S12000014,Falkirk,Local Authority,2016-2017,EASR,489.8,
S12000017,Highland,Local Authority,2016-2017,Count,1463,Persons
S12000017,Highland,Local Authority,1997-1998,EASR,693.3,
S12000017,Highland,Local Authority,1998-1999,EASR,769.5,
S12000017,Highland,Local Authority,1999-2000,EASR,840.6,
S12000017,Highland,Local Authority,2000-2001,EASR,829.5,
S12000017,Highland,Local Authority,2001-2002,EASR,1038.5,
S12000017,Highland,Local Authority,2002-2003,EASR,1098,
S12000017,Highland,Local Authority,2003-2004,EASR,1000.8,
S12000017,Highland,Local Authority,2004-2005,EASR,952.5,
S12000017,Highland,Local Authority,2005-2006,EASR,953.9,
S12000017,Highland,Local Authority,2006-2007,EASR,978.4,
S12000017,Highland,Local Authority,2007-2008,EASR,954.4,
S12000017,Highland,Local Authority,2008-2009,EASR,893.9,
S12000017,Highland,Local Authority,2009-2010,EASR,766.7,
S12000017,Highland,Local Authority,2010-2011,EASR,720.6,
S12000017,Highland,Local Authority,2011-2012,EASR,683.9,
S12000017,Highland,Local Authority,2012-2013,EASR,697.2,
S12000017,Highland,Local Authority,2013-2014,EASR,669.5,
S12000017,Highland,Local Authority,2014-2015,EASR,649.4,
S12000017,Highland,Local Authority,2015-2016,EASR,656.1,
S12000017,Highland,Local Authority,2016-2017,EASR,607.5,
S12000018,Inverclyde,Local Authority,2016-2017,Count,790,Persons
S12000018,Inverclyde,Local Authority,1997-1998,EASR,948.5,
S12000018,Inverclyde,Local Authority,1998-1999,EASR,948.4,
S12000018,Inverclyde,Local Authority,1999-2000,EASR,964.3,
S12000018,Inverclyde,Local Authority,2000-2001,EASR,1081.2,
S12000018,Inverclyde,Local Authority,2001-2002,EASR,950.3,
S12000018,Inverclyde,Local Authority,2002-2003,EASR,1099.6,
S12000018,Inverclyde,Local Authority,2003-2004,EASR,1207.7,
S12000018,Inverclyde,Local Authority,2004-2005,EASR,1295.3,
S12000018,Inverclyde,Local Authority,2005-2006,EASR,1321.7,
S12000018,Inverclyde,Local Authority,2006-2007,EASR,1303.7,
S12000018,Inverclyde,Local Authority,2007-2008,EASR,1364.9,
S12000018,Inverclyde,Local Authority,2008-2009,EASR,1384.5,
S12000018,Inverclyde,Local Authority,2009-2010,EASR,1229.8,
S12000018,Inverclyde,Local Authority,2010-2011,EASR,1192.2,
S12000018,Inverclyde,Local Authority,2011-2012,EASR,1163.2,
S12000018,Inverclyde,Local Authority,2012-2013,EASR,849.7,
S12000018,Inverclyde,Local Authority,2013-2014,EASR,1019,
S12000018,Inverclyde,Local Authority,2014-2015,EASR,1073.2,
S12000018,Inverclyde,Local Authority,2015-2016,EASR,1154.1,
S12000018,Inverclyde,Local Authority,2016-2017,EASR,996.5,
S12000019,Midlothian,Local Authority,2016-2017,Count,457,Persons
S12000019,Midlothian,Local Authority,1997-1998,EASR,533.7,
S12000019,Midlothian,Local Authority,1998-1999,EASR,486.5,
S12000019,Midlothian,Local Authority,1999-2000,EASR,511.9,
S12000019,Midlothian,Local Authority,2000-2001,EASR,518.9,
S12000019,Midlothian,Local Authority,2001-2002,EASR,576.5,
S12000019,Midlothian,Local Authority,2002-2003,EASR,509.1,
S12000019,Midlothian,Local Authority,2003-2004,EASR,642.3,
S12000019,Midlothian,Local Authority,2004-2005,EASR,618.6,
S12000019,Midlothian,Local Authority,2005-2006,EASR,587.4,
S12000019,Midlothian,Local Authority,2006-2007,EASR,649.7,
S12000019,Midlothian,Local Authority,2007-2008,EASR,729.6,
S12000019,Midlothian,Local Authority,2008-2009,EASR,626.1,
S12000019,Midlothian,Local Authority,2009-2010,EASR,560.9,
S12000019,Midlothian,Local Authority,2010-2011,EASR,581.7,
S12000019,Midlothian,Local Authority,2011-2012,EASR,512.1,
S12000019,Midlothian,Local Authority,2012-2013,EASR,548.9,
S12000019,Midlothian,Local Authority,2013-2014,EASR,546.6,
S12000019,Midlothian,Local Authority,2014-2015,EASR,584.1,
S12000019,Midlothian,Local Authority,2015-2016,EASR,560.8,
S12000019,Midlothian,Local Authority,2016-2017,EASR,530.6,
S12000020,Moray,Local Authority,2016-2017,Count,459,Persons
S12000020,Moray,Local Authority,1997-1998,EASR,397.4,
S12000020,Moray,Local Authority,1998-1999,EASR,448.1,
S12000020,Moray,Local Authority,1999-2000,EASR,421.2,
S12000020,Moray,Local Authority,2000-2001,EASR,511.1,
S12000020,Moray,Local Authority,2001-2002,EASR,617.4,
S12000020,Moray,Local Authority,2002-2003,EASR,642.2,
S12000020,Moray,Local Authority,2003-2004,EASR,608.4,
S12000020,Moray,Local Authority,2004-2005,EASR,647.8,
S12000020,Moray,Local Authority,2005-2006,EASR,635.9,
S12000020,Moray,Local Authority,2006-2007,EASR,661.5,
S12000020,Moray,Local Authority,2007-2008,EASR,638.7,
S12000020,Moray,Local Authority,2008-2009,EASR,601.5,
S12000020,Moray,Local Authority,2009-2010,EASR,522,
S12000020,Moray,Local Authority,2010-2011,EASR,466,
S12000020,Moray,Local Authority,2011-2012,EASR,528.6,
S12000020,Moray,Local Authority,2012-2013,EASR,423.5,
S12000020,Moray,Local Authority,2013-2014,EASR,434,
S12000020,Moray,Local Authority,2014-2015,EASR,494.4,
S12000020,Moray,Local Authority,2015-2016,EASR,478.8,
S12000020,Moray,Local Authority,2016-2017,EASR,480.9,
S12000021,North Ayrshire,Local Authority,2016-2017,Count,1178,Persons
S12000021,North Ayrshire,Local Authority,1997-1998,EASR,700.7,
S12000021,North Ayrshire,Local Authority,1998-1999,EASR,702.2,
S12000021,North Ayrshire,Local Authority,1999-2000,EASR,728.4,
S12000021,North Ayrshire,Local Authority,2000-2001,EASR,741.8,
S12000021,North Ayrshire,Local Authority,2001-2002,EASR,970,
S12000021,North Ayrshire,Local Authority,2002-2003,EASR,1094.9,
S12000021,North Ayrshire,Local Authority,2003-2004,EASR,1040.6,
S12000021,North Ayrshire,Local Authority,2004-2005,EASR,1037.2,
S12000021,North Ayrshire,Local Authority,2005-2006,EASR,1033.6,
S12000021,North Ayrshire,Local Authority,2006-2007,EASR,1042.6,
S12000021,North Ayrshire,Local Authority,2007-2008,EASR,1170.4,
S12000021,North Ayrshire,Local Authority,2008-2009,EASR,1109.9,
S12000021,North Ayrshire,Local Authority,2009-2010,EASR,1164.9,
S12000021,North Ayrshire,Local Authority,2010-2011,EASR,1119.8,
S12000021,North Ayrshire,Local Authority,2011-2012,EASR,1094.4,
S12000021,North Ayrshire,Local Authority,2012-2013,EASR,921.9,
S12000021,North Ayrshire,Local Authority,2013-2014,EASR,924.5,
S12000021,North Ayrshire,Local Authority,2014-2015,EASR,870.7,
S12000021,North Ayrshire,Local Authority,2015-2016,EASR,814.7,
S12000021,North Ayrshire,Local Authority,2016-2017,EASR,893.2,
S12000023,Orkney Islands,Local Authority,2016-2017,Count,126,Persons
S12000023,Orkney Islands,Local Authority,1997-1998,EASR,584.9,
S12000023,Orkney Islands,Local Authority,1998-1999,EASR,517.3,
S12000023,Orkney Islands,Local Authority,1999-2000,EASR,558.1,
S12000023,Orkney Islands,Local Authority,2000-2001,EASR,722.7,
S12000023,Orkney Islands,Local Authority,2001-2002,EASR,693.8,
S12000023,Orkney Islands,Local Authority,2002-2003,EASR,708.1,
S12000023,Orkney Islands,Local Authority,2003-2004,EASR,939.4,
S12000023,Orkney Islands,Local Authority,2004-2005,EASR,1005.8,
S12000023,Orkney Islands,Local Authority,2005-2006,EASR,794.2,
S12000023,Orkney Islands,Local Authority,2006-2007,EASR,812.3,
S12000023,Orkney Islands,Local Authority,2007-2008,EASR,1002.9,
S12000023,Orkney Islands,Local Authority,2008-2009,EASR,881.5,
S12000023,Orkney Islands,Local Authority,2009-2010,EASR,1085.7,
S12000023,Orkney Islands,Local Authority,2010-2011,EASR,1740.7,
S12000023,Orkney Islands,Local Authority,2011-2012,EASR,1679.4,
S12000023,Orkney Islands,Local Authority,2012-2013,EASR,1536.3,
S12000023,Orkney Islands,Local Authority,2013-2014,EASR,1407.1,
S12000023,Orkney Islands,Local Authority,2014-2015,EASR,728.3,
S12000023,Orkney Islands,Local Authority,2015-2016,EASR,698.7,
S12000023,Orkney Islands,Local Authority,2016-2017,EASR,537.8,
S12000026,Scottish Borders,Local Authority,2016-2017,Count,507,Persons
S12000026,Scottish Borders,Local Authority,1997-1998,EASR,463.7,
S12000026,Scottish Borders,Local Authority,1998-1999,EASR,456.7,
S12000026,Scottish Borders,Local Authority,1999-2000,EASR,497.2,
S12000026,Scottish Borders,Local Authority,2000-2001,EASR,506.2,
S12000026,Scottish Borders,Local Authority,2001-2002,EASR,573.9,
S12000026,Scottish Borders,Local Authority,2002-2003,EASR,576.1,
S12000026,Scottish Borders,Local Authority,2003-2004,EASR,538.9,
S12000026,Scottish Borders,Local Authority,2004-2005,EASR,546.2,
S12000026,Scottish Borders,Local Authority,2005-2006,EASR,566.2,
S12000026,Scottish Borders,Local Authority,2006-2007,EASR,643.5,
S12000026,Scottish Borders,Local Authority,2007-2008,EASR,673,
S12000026,Scottish Borders,Local Authority,2008-2009,EASR,630.2,
S12000026,Scottish Borders,Local Authority,2009-2010,EASR,594.7,
S12000026,Scottish Borders,Local Authority,2010-2011,EASR,543.2,
S12000026,Scottish Borders,Local Authority,2011-2012,EASR,624.5,
S12000026,Scottish Borders,Local Authority,2012-2013,EASR,556.8,
S12000026,Scottish Borders,Local Authority,2013-2014,EASR,567.3,
S12000026,Scottish Borders,Local Authority,2014-2015,EASR,460.5,
S12000026,Scottish Borders,Local Authority,2015-2016,EASR,445,
S12000026,Scottish Borders,Local Authority,2016-2017,EASR,450.3,
S12000027,Shetland Islands,Local Authority,2016-2017,Count,140,Persons
S12000027,Shetland Islands,Local Authority,1997-1998,EASR,554.4,
S12000027,Shetland Islands,Local Authority,1998-1999,EASR,589.9,
S12000027,Shetland Islands,Local Authority,1999-2000,EASR,467.6,
S12000027,Shetland Islands,Local Authority,2000-2001,EASR,432.2,
S12000027,Shetland Islands,Local Authority,2001-2002,EASR,351.3,
S12000027,Shetland Islands,Local Authority,2002-2003,EASR,576,
S12000027,Shetland Islands,Local Authority,2003-2004,EASR,531.4,
S12000027,Shetland Islands,Local Authority,2004-2005,EASR,614.4,
S12000027,Shetland Islands,Local Authority,2005-2006,EASR,768.6,
S12000027,Shetland Islands,Local Authority,2006-2007,EASR,654.3,
S12000027,Shetland Islands,Local Authority,2007-2008,EASR,678.1,
S12000027,Shetland Islands,Local Authority,2008-2009,EASR,670.1,
S12000027,Shetland Islands,Local Authority,2009-2010,EASR,770.3,
S12000027,Shetland Islands,Local Authority,2010-2011,EASR,721.7,
S12000027,Shetland Islands,Local Authority,2011-2012,EASR,956.9,
S12000027,Shetland Islands,Local Authority,2012-2013,EASR,716.2,
S12000027,Shetland Islands,Local Authority,2013-2014,EASR,683.2,
S12000027,Shetland Islands,Local Authority,2014-2015,EASR,576,
S12000027,Shetland Islands,Local Authority,2015-2016,EASR,654.3,
S12000027,Shetland Islands,Local Authority,2016-2017,EASR,603.4,
S12000028,South Ayrshire,Local Authority,2016-2017,Count,797,Persons
S12000028,South Ayrshire,Local Authority,1997-1998,EASR,779.4,
S12000028,South Ayrshire,Local Authority,1998-1999,EASR,842.4,
S12000028,South Ayrshire,Local Authority,1999-2000,EASR,846,
S12000028,South Ayrshire,Local Authority,2000-2001,EASR,769.7,
S12000028,South Ayrshire,Local Authority,2001-2002,EASR,874.3,
S12000028,South Ayrshire,Local Authority,2002-2003,EASR,1035.9,
S12000028,South Ayrshire,Local Authority,2003-2004,EASR,1081.6,
S12000028,South Ayrshire,Local Authority,2004-2005,EASR,1049.2,
S12000028,South Ayrshire,Local Authority,2005-2006,EASR,1029.7,
S12000028,South Ayrshire,Local Authority,2006-2007,EASR,999.5,
S12000028,South Ayrshire,Local Authority,2007-2008,EASR,993,
S12000028,South Ayrshire,Local Authority,2008-2009,EASR,978.8,
S12000028,South Ayrshire,Local Authority,2009-2010,EASR,1044.9,
S12000028,South Ayrshire,Local Authority,2010-2011,EASR,914.3,
S12000028,South Ayrshire,Local Authority,2011-2012,EASR,875.6,
S12000028,South Ayrshire,Local Authority,2012-2013,EASR,796.1,
S12000028,South Ayrshire,Local Authority,2013-2014,EASR,772,
S12000028,South Ayrshire,Local Authority,2014-2015,EASR,718.3,
S12000028,South Ayrshire,Local Authority,2015-2016,EASR,696.1,
S12000028,South Ayrshire,Local Authority,2016-2017,EASR,705.4,
S12000029,South Lanarkshire,Local Authority,2016-2017,Count,2221,Persons
S12000029,South Lanarkshire,Local Authority,1997-1998,EASR,485.5,
S12000029,South Lanarkshire,Local Authority,1998-1999,EASR,487.7,
S12000029,South Lanarkshire,Local Authority,1999-2000,EASR,518.5,
S12000029,South Lanarkshire,Local Authority,2000-2001,EASR,530.1,
S12000029,South Lanarkshire,Local Authority,2001-2002,EASR,572.1,
S12000029,South Lanarkshire,Local Authority,2002-2003,EASR,575.4,
S12000029,South Lanarkshire,Local Authority,2003-2004,EASR,614.5,
S12000029,South Lanarkshire,Local Authority,2004-2005,EASR,670,
S12000029,South Lanarkshire,Local Authority,2005-2006,EASR,652.5,
S12000029,South Lanarkshire,Local Authority,2006-2007,EASR,689.8,
S12000029,South Lanarkshire,Local Authority,2007-2008,EASR,685.9,
S12000029,South Lanarkshire,Local Authority,2008-2009,EASR,673.7,
S12000029,South Lanarkshire,Local Authority,2009-2010,EASR,574.4,
S12000029,South Lanarkshire,Local Authority,2010-2011,EASR,561.2,
S12000029,South Lanarkshire,Local Authority,2011-2012,EASR,676.6,
S12000029,South Lanarkshire,Local Authority,2012-2013,EASR,620.3,
S12000029,South Lanarkshire,Local Authority,2013-2014,EASR,713.1,
S12000029,South Lanarkshire,Local Authority,2014-2015,EASR,673,
S12000029,South Lanarkshire,Local Authority,2015-2016,EASR,690.8,
S12000029,South Lanarkshire,Local Authority,2016-2017,EASR,705.5,
S12000030,Stirling,Local Authority,2016-2017,Count,350,Persons
S12000030,Stirling,Local Authority,1997-1998,EASR,490.8,
S12000030,Stirling,Local Authority,1998-1999,EASR,509.9,
S12000030,Stirling,Local Authority,1999-2000,EASR,510.5,
S12000030,Stirling,Local Authority,2000-2001,EASR,511.9,
S12000030,Stirling,Local Authority,2001-2002,EASR,572.3,
S12000030,Stirling,Local Authority,2002-2003,EASR,604,
S12000030,Stirling,Local Authority,2003-2004,EASR,583.7,
S12000030,Stirling,Local Authority,2004-2005,EASR,610.6,
S12000030,Stirling,Local Authority,2005-2006,EASR,468.7,
S12000030,Stirling,Local Authority,2006-2007,EASR,514.6,
S12000030,Stirling,Local Authority,2007-2008,EASR,547.9,
S12000030,Stirling,Local Authority,2008-2009,EASR,551.6,
S12000030,Stirling,Local Authority,2009-2010,EASR,610,
S12000030,Stirling,Local Authority,2010-2011,EASR,455.1,
S12000030,Stirling,Local Authority,2011-2012,EASR,490.4,
S12000030,Stirling,Local Authority,2012-2013,EASR,410.7,
S12000030,Stirling,Local Authority,2013-2014,EASR,455.7,
S12000030,Stirling,Local Authority,2014-2015,EASR,364.8,
S12000030,Stirling,Local Authority,2015-2016,EASR,424.1,
S12000030,Stirling,Local Authority,2016-2017,EASR,387.5,
S12000033,Aberdeen City,Local Authority,2016-2017,Count,1519,Persons
S12000033,Aberdeen City,Local Authority,1997-1998,EASR,702.3,
S12000033,Aberdeen City,Local Authority,1998-1999,EASR,712.4,
S12000033,Aberdeen City,Local Authority,1999-2000,EASR,826.6,
S12000033,Aberdeen City,Local Authority,2000-2001,EASR,670,
S12000033,Aberdeen City,Local Authority,2001-2002,EASR,719.5,
S12000033,Aberdeen City,Local Authority,2002-2003,EASR,741.1,
S12000033,Aberdeen City,Local Authority,2003-2004,EASR,940,
S12000033,Aberdeen City,Local Authority,2004-2005,EASR,871.5,
S12000033,Aberdeen City,Local Authority,2005-2006,EASR,944,
S12000033,Aberdeen City,Local Authority,2006-2007,EASR,996.8,
S12000033,Aberdeen City,Local Authority,2007-2008,EASR,1073.9,
S12000033,Aberdeen City,Local Authority,2008-2009,EASR,1071.5,
S12000033,Aberdeen City,Local Authority,2009-2010,EASR,1050.7,
S12000033,Aberdeen City,Local Authority,2010-2011,EASR,922.5,
S12000033,Aberdeen City,Local Authority,2011-2012,EASR,961.4,
S12000033,Aberdeen City,Local Authority,2012-2013,EASR,851.9,
