FeatureCode,DateCode,Measurement,Units,Value,Gender,Age,Outcome
S12000039,2004,Count,People,8,Male,20-39 years,Killed Or Seriously Injured
S12000038,2004,Count,People,20,Male,20-39 years,Killed Or Seriously Injured
S12000017,2011,Count,People,29,Male,20-39 years,Killed Or Seriously Injured
S12000029,2012,Count,People,11,Male,40-59 years,Killed Or Seriously Injured
S12000029,2012,Count,People,23,Male,20-39 years,Killed Or Seriously Injured
S12000029,2012,Count,People,9,Male,0-19 years,Killed Or Seriously Injured
S12000028,2012,Count,People,8,Male,20-39 years,Killed Or Seriously Injured
S12000006,2012,Count,People,19,Male,40-59 years,Killed Or Seriously Injured
S12000028,2012,Count,People,11,Male,40-59 years,Killed Or Seriously Injured
S12000048,2012,Count,People,58,Male,All,Killed Or Seriously Injured
S12000027,2012,Count,People,0,Male,0-19 years,Killed Or Seriously Injured
S12000028,2012,Count,People,1,Male,0-19 years,Killed Or Seriously Injured
S12000027,2012,Count,People,2,Male,40-59 years,Killed Or Seriously Injured
S12000027,2012,Count,People,1,Male,20-39 years,Killed Or Seriously Injured
S12000048,2010,Count,People,67,Male,All,Killed Or Seriously Injured
S12000047,2001,Count,People,160,Male,All,Killed Or Seriously Injured
S12000008,2012,Count,People,10,Male,40-59 years,Killed Or Seriously Injured
S12000008,2012,Count,People,3,Male,0-19 years,Killed Or Seriously Injured
S12000047,1997,Count,People,156,Male,All,Killed Or Seriously Injured
S12000047,1999,Count,People,121,Male,All,Killed Or Seriously Injured
S12000047,1998,Count,People,147,Male,All,Killed Or Seriously Injured
S12000006,2012,Count,People,19,Male,20-39 years,Killed Or Seriously Injured
S12000006,2012,Count,People,11,Male,0-19 years,Killed Or Seriously Injured
S12000047,2000,Count,People,164,Male,All,Killed Or Seriously Injured
S12000010,2012,Count,People,1,Male,0-19 years,Killed Or Seriously Injured
S12000008,2012,Count,People,12,Male,20-39 years,Killed Or Seriously Injured
S12000010,2012,Count,People,1,Male,20-39 years,Killed Or Seriously Injured
S12000020,2004,Count,People,17,Male,20-39 years,Killed Or Seriously Injured
S12000020,2012,Count,People,13,Male,40-59 years,Killed Or Seriously Injured
S12000020,2012,Count,People,7,Male,0-19 years,Killed Or Seriously Injured
S12000030,2012,Count,People,16,Male,20-39 years,Killed Or Seriously Injured
S12000020,2004,Count,People,13,Male,0-19 years,Killed Or Seriously Injured
S12000030,2012,Count,People,17,Male,40-59 years,Killed Or Seriously Injured
S12000019,2012,Count,People,9,Male,20-39 years,Killed Or Seriously Injured
S12000019,2012,Count,People,5,Male,0-19 years,Killed Or Seriously Injured
S12000020,2004,Count,People,11,Male,40-59 years,Killed Or Seriously Injured
S12000021,2012,Count,People,6,Male,0-19 years,Killed Or Seriously Injured
S12000020,2012,Count,People,8,Male,20-39 years,Killed Or Seriously Injured
S12000021,2012,Count,People,7,Male,20-39 years,Killed Or Seriously Injured
S12000048,2006,Count,People,102,Male,All,Killed Or Seriously Injured
S12000033,2012,Count,People,16,Male,40-59 years,Killed Or Seriously Injured
S12000033,2012,Count,People,23,Male,0-19 years,Killed Or Seriously Injured
S12000048,2007,Count,People,89,Male,All,Killed Or Seriously Injured
S12000048,2011,Count,People,74,Male,All,Killed Or Seriously Injured
S12000033,2012,Count,People,34,Male,20-39 years,Killed Or Seriously Injured
S12000047,2015,Count,People,54,Male,All,Killed Or Seriously Injured
S12000030,2012,Count,People,7,Male,0-19 years,Killed Or Seriously Injured
S12000047,2016,Count,People,66,Male,All,Killed Or Seriously Injured
S12000034,2012,Count,People,27,Male,0-19 years,Killed Or Seriously Injured
S12000048,2009,Count,People,72,Male,All,Killed Or Seriously Injured
S12000048,2008,Count,People,86,Male,All,Killed Or Seriously Injured
S08000029,2005,Count,People,124,Male,All,Killed Or Seriously Injured
S12000048,1997,Count,People,133,Male,All,Killed Or Seriously Injured
S12000013,2012,Count,People,1,Male,0-19 years,Killed Or Seriously Injured
S92000003,2012,Count,People,275,Male,0-19 years,Killed Or Seriously Injured
S92000003,2012,Count,People,436,Male,40-59 years,Killed Or Seriously Injured
S92000003,2012,Count,People,512,Male,20-39 years,Killed Or Seriously Injured
S08000029,2007,Count,People,116,Male,All,Killed Or Seriously Injured
S08000029,2006,Count,People,147,Male,All,Killed Or Seriously Injured
S12000010,2012,Count,People,7,Male,40-59 years,Killed Or Seriously Injured
S08000029,2008,Count,People,87,Male,All,Killed Or Seriously Injured
S12000013,2012,Count,People,1,Male,20-39 years,Killed Or Seriously Injured
S12000013,2012,Count,People,3,Male,40-59 years,Killed Or Seriously Injured
S12000050,2012,Count,People,7,Male,0-19 years,Killed Or Seriously Injured
S12000049,2012,Count,People,28,Male,0-19 years,Killed Or Seriously Injured
S12000048,2003,Count,People,113,Male,All,Killed Or Seriously Injured
S12000049,2012,Count,People,46,Male,20-39 years,Killed Or Seriously Injured
S12000048,1999,Count,People,141,Male,All,Killed Or Seriously Injured
S12000049,2012,Count,People,37,Male,40-59 years,Killed Or Seriously Injured
S12000048,2013,Count,People,59,Male,All,Killed Or Seriously Injured
S12000048,2014,Count,People,51,Male,All,Killed Or Seriously Injured
S12000048,1998,Count,People,153,Male,All,Killed Or Seriously Injured
S12000048,2002,Count,People,111,Male,All,Killed Or Seriously Injured
S12000048,2001,Count,People,136,Male,All,Killed Or Seriously Injured
S12000048,1996,Count,People,138,Male,All,Killed Or Seriously Injured
S12000017,2012,Count,People,29,Male,20-39 years,Killed Or Seriously Injured
S12000017,2012,Count,People,13,Male,0-19 years,Killed Or Seriously Injured
S12000047,2003,Count,People,129,Male,All,Killed Or Seriously Injured
S12000014,2012,Count,People,6,Male,0-19 years,Killed Or Seriously Injured
S12000048,2015,Count,People,44,Male,All,Killed Or Seriously Injured
S12000014,2012,Count,People,24,Male,20-39 years,Killed Or Seriously Injured
S12000005,2012,Count,People,4,Male,20-39 years,Killed Or Seriously Injured
S12000005,2012,Count,People,3,Male,0-19 years,Killed Or Seriously Injured
S12000047,2004,Count,People,140,Male,All,Killed Or Seriously Injured
S12000047,2005,Count,People,124,Male,All,Killed Or Seriously Injured
S12000047,2002,Count,People,192,Male,All,Killed Or Seriously Injured
S12000005,2012,Count,People,3,Male,40-59 years,Killed Or Seriously Injured
S12000048,2004,Count,People,109,Male,All,Killed Or Seriously Injured
S12000011,2012,Count,People,3,Male,20-39 years,Killed Or Seriously Injured
S12000017,2012,Count,People,31,Male,40-59 years,Killed Or Seriously Injured
S12000011,2012,Count,People,4,Male,40-59 years,Killed Or Seriously Injured
S12000048,2005,Count,People,97,Male,All,Killed Or Seriously Injured
S12000011,2012,Count,People,2,Male,0-19 years,Killed Or Seriously Injured
S12000018,2012,Count,People,3,Male,20-39 years,Killed Or Seriously Injured
S12000018,2012,Count,People,4,Male,0-19 years,Killed Or Seriously Injured
S12000014,2012,Count,People,19,Male,40-59 years,Killed Or Seriously Injured
S12000048,2016,Count,People,38,Male,All,Killed Or Seriously Injured
S12000018,2012,Count,People,8,Male,40-59 years,Killed Or Seriously Injured
S12000019,2013,Count,People,5,Male,40-59 years,Killed Or Seriously Injured
S12000019,2013,Count,People,11,Male,20-39 years,Killed Or Seriously Injured
S12000019,2013,Count,People,7,Male,0-19 years,Killed Or Seriously Injured
S12000018,2013,Count,People,3,Male,20-39 years,Killed Or Seriously Injured
S12000026,2004,Count,People,22,Male,40-59 years,Killed Or Seriously Injured
S12000018,2013,Count,People,3,Male,40-59 years,Killed Or Seriously Injured
S08000029,2011,Count,People,64,Male,All,Killed Or Seriously Injured
S12000017,2013,Count,People,6,Male,0-19 years,Killed Or Seriously Injured
S12000018,2013,Count,People,2,Male,0-19 years,Killed Or Seriously Injured
S12000017,2013,Count,People,22,Male,40-59 years,Killed Or Seriously Injured
S12000017,2013,Count,People,20,Male,20-39 years,Killed Or Seriously Injured
S08000029,2010,Count,People,83,Male,All,Killed Or Seriously Injured
S12000045,1998,Count,People,12,Male,40-59 years,Killed Or Seriously Injured
S12000041,1998,Count,People,16,Male,40-59 years,Killed Or Seriously Injured
S08000029,2015,Count,People,54,Male,All,Killed Or Seriously Injured
S12000042,1998,Count,People,7,Male,40-59 years,Killed Or Seriously Injured
S12000042,1998,Count,People,23,Male,0-19 years,Killed Or Seriously Injured
S08000029,2016,Count,People,66,Male,All,Killed Or Seriously Injured
S12000023,2004,Count,People,1,Male,40-59 years,Killed Or Seriously Injured
S12000045,1998,Count,People,8,Male,0-19 years,Killed Or Seriously Injured
S12000026,2004,Count,People,35,Male,20-39 years,Killed Or Seriously Injured
S08000030,2005,Count,People,199,Male,All,Killed Or Seriously Injured
S12000023,2004,Count,People,4,Male,20-39 years,Killed Or Seriously Injured
S12000045,1998,Count,People,11,Male,20-39 years,Killed Or Seriously Injured
S12000011,2013,Count,People,2,Male,0-19 years,Killed Or Seriously Injured
S12000010,2013,Count,People,5,Male,20-39 years,Killed Or Seriously Injured
S12000011,2013,Count,People,1,Male,20-39 years,Killed Or Seriously Injured
S12000010,2013,Count,People,3,Male,40-59 years,Killed Or Seriously Injured
S12000020,2013,Count,People,11,Male,40-59 years,Killed Or Seriously Injured
S12000010,2013,Count,People,6,Male,0-19 years,Killed Or Seriously Injured
S12000008,2013,Count,People,5,Male,40-59 years,Killed Or Seriously Injured
S08000030,2011,Count,People,146,Male,All,Killed Or Seriously Injured
S08000030,2012,Count,People,122,Male,All,Killed Or Seriously Injured
S12000008,2013,Count,People,4,Male,0-19 years,Killed Or Seriously Injured
S08000030,2013,Count,People,122,Male,All,Killed Or Seriously Injured
S12000008,2013,Count,People,13,Male,20-39 years,Killed Or Seriously Injured
S12000026,2004,Count,People,6,Male,0-19 years,Killed Or Seriously Injured
S12000021,2013,Count,People,1,Male,0-19 years,Killed Or Seriously Injured
S12000023,2013,Count,People,0,Male,0-19 years,Killed Or Seriously Injured
S12000021,2013,Count,People,10,Male,20-39 years,Killed Or Seriously Injured
S08000029,2009,Count,People,74,Male,All,Killed Or Seriously Injured
S12000021,2013,Count,People,10,Male,40-59 years,Killed Or Seriously Injured
S08000029,2013,Count,People,62,Male,All,Killed Or Seriously Injured
S08000029,2012,Count,People,69,Male,All,Killed Or Seriously Injured
S12000020,2013,Count,People,8,Male,20-39 years,Killed Or Seriously Injured
S12000020,2013,Count,People,7,Male,0-19 years,Killed Or Seriously Injured
S08000029,2014,Count,People,45,Male,All,Killed Or Seriously Injured
S12000021,2004,Count,People,14,Male,40-59 years,Killed Or Seriously Injured
S12000035,1998,Count,People,49,Male,20-39 years,Killed Or Seriously Injured
S12000036,1998,Count,People,24,Male,0-19 years,Killed Or Seriously Injured
S12000035,1998,Count,People,21,Male,0-19 years,Killed Or Seriously Injured
S12000023,2017,Count,People,4,Male,All,Killed Or Seriously Injured
S12000021,2017,Count,People,33,Male,All,Killed Or Seriously Injured
S12000036,1998,Count,People,64,Male,20-39 years,Killed Or Seriously Injured
S12000020,2017,Count,People,23,Male,All,Killed Or Seriously Injured
S12000038,1998,Count,People,27,Male,0-19 years,Killed Or Seriously Injured
S12000005,2017,Count,People,6,Male,All,Killed Or Seriously Injured
S12000035,1998,Count,People,28,Male,40-59 years,Killed Or Seriously Injured
S12000019,2017,Count,People,30,Male,All,Killed Or Seriously Injured
S12000038,1998,Count,People,28,Male,20-39 years,Killed Or Seriously Injured
S12000026,2012,Count,People,20,Male,40-59 years,Killed Or Seriously Injured
S12000026,2012,Count,People,12,Male,20-39 years,Killed Or Seriously Injured
S12000018,2017,Count,People,12,Male,All,Killed Or Seriously Injured
S12000026,2012,Count,People,13,Male,0-19 years,Killed Or Seriously Injured
S12000019,2012,Count,People,6,Male,40-59 years,Killed Or Seriously Injured
S12000018,2004,Count,People,7,Male,40-59 years,Killed Or Seriously Injured
S12000023,2012,Count,People,1,Male,0-19 years,Killed Or Seriously Injured
S12000023,2012,Count,People,4,Male,40-59 years,Killed Or Seriously Injured
S12000017,2017,Count,People,62,Male,All,Killed Or Seriously Injured
S12000014,2017,Count,People,30,Male,All,Killed Or Seriously Injured
S12000021,2012,Count,People,14,Male,40-59 years,Killed Or Seriously Injured
S12000023,2012,Count,People,1,Male,20-39 years,Killed Or Seriously Injured
S12000030,1998,Count,People,17,Male,40-59 years,Killed Or Seriously Injured
S12000033,1998,Count,People,12,Male,40-59 years,Killed Or Seriously Injured
S12000011,2017,Count,People,13,Male,All,Killed Or Seriously Injured
S12000033,1998,Count,People,17,Male,0-19 years,Killed Or Seriously Injured
S12000033,1998,Count,People,31,Male,20-39 years,Killed Or Seriously Injured
S12000019,2004,Count,People,11,Male,20-39 years,Killed Or Seriously Injured
S12000034,1998,Count,People,43,Male,0-19 years,Killed Or Seriously Injured
S12000034,1998,Count,People,65,Male,20-39 years,Killed Or Seriously Injured
S12000042,1998,Count,People,24,Male,20-39 years,Killed Or Seriously Injured
S12000034,1998,Count,People,34,Male,40-59 years,Killed Or Seriously Injured
S12000008,2017,Count,People,28,Male,All,Killed Or Seriously Injured
S12000010,2017,Count,People,28,Male,All,Killed Or Seriously Injured
S12000006,2013,Count,People,14,Male,20-39 years,Killed Or Seriously Injured
S12000006,2013,Count,People,7,Male,0-19 years,Killed Or Seriously Injured
S12000038,1998,Count,People,7,Male,40-59 years,Killed Or Seriously Injured
S12000006,2017,Count,People,44,Male,All,Killed Or Seriously Injured
S12000005,2013,Count,People,1,Male,40-59 years,Killed Or Seriously Injured
S12000006,2013,Count,People,18,Male,40-59 years,Killed Or Seriously Injured
S12000005,2013,Count,People,4,Male,20-39 years,Killed Or Seriously Injured
S12000005,2013,Count,People,1,Male,0-19 years,Killed Or Seriously Injured
S12000019,2004,Count,People,3,Male,0-19 years,Killed Or Seriously Injured
S12000019,2004,Count,People,4,Male,40-59 years,Killed Or Seriously Injured
S12000036,1998,Count,People,26,Male,40-59 years,Killed Or Seriously Injured
