area_code,reference_area,area_type,year,sector,energy_type,value,units
S12000027,Shetland Islands,Local Authority,2014,Domestic,Coal,8.4602250432,GWh
S12000027,Shetland Islands,Local Authority,2013,Domestic,Electricity,101.32924745,GWh
S12000027,Shetland Islands,Local Authority,2013,Domestic,Coal,9.9053076578,GWh
S12000040,West Lothian,Local Authority,2008,Domestic,Electricity,307.9624,GWh
S12000027,Shetland Islands,Local Authority,2013,Domestic,Manufactured Fuels,5.1480228494,GWh
S12000027,Shetland Islands,Local Authority,2013,Domestic,Petroleum Products,69.726338738,GWh
S12000027,Shetland Islands,Local Authority,2013,Domestic,Gas,0,GWh
S12000027,Shetland Islands,Local Authority,2010,Domestic,Bioenergy & Wastes,9.2803936121,GWh
S12000045,East Dunbartonshire,Local Authority,2018,Domestic,Gas,769.9798445,GWh
S12000040,West Lothian,Local Authority,2009,Domestic,Coal,12.602035505,GWh
S12000040,West Lothian,Local Authority,2009,Domestic,Bioenergy & Wastes,23.326095953,GWh
S12000027,Shetland Islands,Local Authority,2010,Domestic,Electricity,103.50989507,GWh
S12000027,Shetland Islands,Local Authority,2010,Domestic,Coal,10.949559706,GWh
S12000027,Shetland Islands,Local Authority,2009,Domestic,Electricity,101.55372362,GWh
S12000027,Shetland Islands,Local Authority,2009,Domestic,Gas,0,GWh
S12000040,West Lothian,Local Authority,2009,Domestic,Electricity,302.90503112,GWh
S12000045,East Dunbartonshire,Local Authority,2018,Domestic,Electricity,169.6590948,GWh
S12000027,Shetland Islands,Local Authority,2009,Domestic,Petroleum Products,78.647944082,GWh
S12000027,Shetland Islands,Local Authority,2009,Domestic,Manufactured Fuels,4.5426778837,GWh
S12000027,Shetland Islands,Local Authority,2011,Domestic,Electricity,103.73006631,GWh
S12000045,East Dunbartonshire,Local Authority,2018,Domestic,Manufactured Fuels,2.3329425867,GWh
S12000027,Shetland Islands,Local Authority,2011,Domestic,Coal,10.815207015,GWh
S12000045,East Dunbartonshire,Local Authority,2018,Domestic,Petroleum Products,8.7699647165,GWh
S12000027,Shetland Islands,Local Authority,2011,Domestic,Petroleum Products,67.961925794,GWh
S12000027,Shetland Islands,Local Authority,2011,Domestic,Gas,0,GWh
S12000027,Shetland Islands,Local Authority,2011,Domestic,Manufactured Fuels,4.583945578,GWh
S12000027,Shetland Islands,Local Authority,2010,Domestic,Petroleum Products,87.858665469,GWh
S12000027,Shetland Islands,Local Authority,2010,Domestic,Gas,0,GWh
S12000027,Shetland Islands,Local Authority,2010,Domestic,Manufactured Fuels,5.1617389342,GWh
S12000027,Shetland Islands,Local Authority,2011,Domestic,Bioenergy & Wastes,8.0625633374,GWh
S12000026,Scottish Borders,Local Authority,2009,Domestic,Petroleum Products,245.35747361,GWh
S12000040,West Lothian,Local Authority,2015,Domestic,Petroleum Products,28.029379718,GWh
S12000026,Scottish Borders,Local Authority,2009,Domestic,Manufactured Fuels,19.083619305,GWh
S12000045,East Dunbartonshire,Local Authority,2015,Domestic,Coal,2.4488260931,GWh
S12000026,Scottish Borders,Local Authority,2010,Domestic,Coal,46.049412914,GWh
S12000040,West Lothian,Local Authority,2015,Domestic,Gas,1012.114678,GWh
S12000026,Scottish Borders,Local Authority,2010,Domestic,Bioenergy & Wastes,37.702584232,GWh
S12000040,West Lothian,Local Authority,2015,Domestic,Manufactured Fuels,6.1252382631,GWh
S12000045,East Dunbartonshire,Local Authority,2015,Domestic,Bioenergy & Wastes,23.421182705,GWh
S12000026,Scottish Borders,Local Authority,2009,Domestic,Coal,44.113350916,GWh
S12000040,West Lothian,Local Authority,2016,Domestic,Coal,10.172783946,GWh
S12000026,Scottish Borders,Local Authority,2009,Domestic,Bioenergy & Wastes,29.243252722,GWh
S12000026,Scottish Borders,Local Authority,2009,Domestic,Electricity,284.66908994,GWh
S12000026,Scottish Borders,Local Authority,2009,Domestic,Gas,551.13712881,GWh
S12000040,West Lothian,Local Authority,2016,Domestic,Bioenergy & Wastes,45.105779893,GWh
S12000026,Scottish Borders,Local Authority,2011,Domestic,Coal,45.484256053,GWh
S12000040,West Lothian,Local Authority,2015,Domestic,Bioenergy & Wastes,41.975711303,GWh
S12000026,Scottish Borders,Local Authority,2011,Domestic,Bioenergy & Wastes,32.755019482,GWh
S12000045,East Dunbartonshire,Local Authority,2015,Domestic,Gas,746.3723821,GWh
S12000026,Scottish Borders,Local Authority,2011,Domestic,Gas,519.73191927,GWh
S12000026,Scottish Borders,Local Authority,2011,Domestic,Manufactured Fuels,19.246921741,GWh
S12000045,East Dunbartonshire,Local Authority,2015,Domestic,Manufactured Fuels,2.0225360956,GWh
S12000026,Scottish Borders,Local Authority,2011,Domestic,Electricity,272.74161773,GWh
S12000026,Scottish Borders,Local Authority,2010,Domestic,Manufactured Fuels,21.693770734,GWh
S12000040,West Lothian,Local Authority,2015,Domestic,Electricity,298.8390219,GWh
S12000026,Scottish Borders,Local Authority,2010,Domestic,Electricity,282.36450128,GWh
S12000026,Scottish Borders,Local Authority,2010,Domestic,Gas,552.58823056,GWh
S12000045,East Dunbartonshire,Local Authority,2015,Domestic,Electricity,187.7010577,GWh
S12000040,West Lothian,Local Authority,2015,Domestic,Coal,10.226637463,GWh
S12000026,Scottish Borders,Local Authority,2010,Domestic,Petroleum Products,279.93517461,GWh
S12000040,West Lothian,Local Authority,2017,Domestic,Coal,9.911660301,GWh
S12000026,Scottish Borders,Local Authority,2007,Domestic,Bioenergy & Wastes,22.618873944,GWh
S12000026,Scottish Borders,Local Authority,2006,Domestic,Petroleum Products,275.59475499,GWh
S12000045,East Dunbartonshire,Local Authority,2014,Domestic,Electricity,189.575449,GWh
S12000040,West Lothian,Local Authority,2017,Domestic,Bioenergy & Wastes,44.836003284,GWh
S12000045,East Dunbartonshire,Local Authority,2014,Domestic,Manufactured Fuels,1.9786574663,GWh
S12000045,East Dunbartonshire,Local Authority,2014,Domestic,Gas,759.1411,GWh
S12000026,Scottish Borders,Local Authority,2007,Domestic,Coal,41.642533202,GWh
S12000040,West Lothian,Local Authority,2017,Domestic,Gas,1063.499452,GWh
S12000026,Scottish Borders,Local Authority,2006,Domestic,Electricity,293.62261,GWh
S12000040,West Lothian,Local Authority,2017,Domestic,Manufactured Fuels,6.5968598374,GWh
S12000026,Scottish Borders,Local Authority,2006,Domestic,Coal,36.348678759,GWh
S12000026,Scottish Borders,Local Authority,2006,Domestic,Manufactured Fuels,21.230758826,GWh
S12000040,West Lothian,Local Authority,2017,Domestic,Electricity,281.3251486,GWh
S12000026,Scottish Borders,Local Authority,2006,Domestic,Gas,607.34186,GWh
S12000040,West Lothian,Local Authority,2016,Domestic,Gas,1021.666218,GWh
S12000026,Scottish Borders,Local Authority,2008,Domestic,Electricity,285.07456,GWh
S12000040,West Lothian,Local Authority,2016,Domestic,Manufactured Fuels,6.0326984112,GWh
S12000026,Scottish Borders,Local Authority,2008,Domestic,Coal,44.056617718,GWh
S12000040,West Lothian,Local Authority,2016,Domestic,Electricity,285.6555397,GWh
S12000026,Scottish Borders,Local Authority,2008,Domestic,Petroleum Products,252.94082395,GWh
S12000026,Scottish Borders,Local Authority,2008,Domestic,Gas,601.92228,GWh
S12000026,Scottish Borders,Local Authority,2008,Domestic,Manufactured Fuels,23.222594559,GWh
S12000026,Scottish Borders,Local Authority,2007,Domestic,Manufactured Fuels,19.195545588,GWh
S12000026,Scottish Borders,Local Authority,2007,Domestic,Petroleum Products,235.54747068,GWh
S12000026,Scottish Borders,Local Authority,2007,Domestic,Electricity,294.91354,GWh
S12000026,Scottish Borders,Local Authority,2007,Domestic,Gas,621.20482,GWh
S12000040,West Lothian,Local Authority,2016,Domestic,Petroleum Products,27.925537355,GWh
S12000026,Scottish Borders,Local Authority,2008,Domestic,Bioenergy & Wastes,26.843021595,GWh
S12000045,East Dunbartonshire,Local Authority,2014,Domestic,Petroleum Products,8.7756038012,GWh
S12000026,Scottish Borders,Local Authority,2015,Domestic,Electricity,264.6095565,GWh
S12000026,Scottish Borders,Local Authority,2015,Domestic,Gas,496.729897,GWh
S12000040,West Lothian,Local Authority,2013,Domestic,Bioenergy & Wastes,39.117161322,GWh
S12000045,East Dunbartonshire,Local Authority,2016,Domestic,Manufactured Fuels,1.9619581122,GWh
S12000045,East Dunbartonshire,Local Authority,2016,Domestic,Petroleum Products,8.8051561661,GWh
S12000040,West Lothian,Local Authority,2012,Domestic,Petroleum Products,29.794264433,GWh
S12000026,Scottish Borders,Local Authority,2015,Domestic,Manufactured Fuels,17.530399532,GWh
S12000026,Scottish Borders,Local Authority,2015,Domestic,Petroleum Products,191.81323342,GWh
S12000045,East Dunbartonshire,Local Authority,2016,Domestic,Electricity,178.887802,GWh
S12000040,West Lothian,Local Authority,2013,Domestic,Coal,11.889793452,GWh
S12000040,West Lothian,Local Authority,2013,Domestic,Electricity,296.01392406,GWh
S12000026,Scottish Borders,Local Authority,2014,Domestic,Petroleum Products,191.80502125,GWh
S12000045,East Dunbartonshire,Local Authority,2016,Domestic,Gas,748.6771606,GWh
S12000026,Scottish Borders,Local Authority,2015,Domestic,Coal,35.821133202,GWh
S12000026,Scottish Borders,Local Authority,2015,Domestic,Bioenergy & Wastes,52.6237368,GWh
S12000040,West Lothian,Local Authority,2012,Domestic,Coal,12.413490817,GWh
S12000026,Scottish Borders,Local Authority,2017,Domestic,Bioenergy & Wastes,56.209602233,GWh
S12000040,West Lothian,Local Authority,2012,Domestic,Electricity,296.69734238,GWh
S12000026,Scottish Borders,Local Authority,2016,Domestic,Petroleum Products,191.74952277,GWh
S12000040,West Lothian,Local Authority,2012,Domestic,Bioenergy & Wastes,33.22760095,GWh
S12000026,Scottish Borders,Local Authority,2017,Domestic,Electricity,252.5846325,GWh
S12000045,East Dunbartonshire,Local Authority,2017,Domestic,Bioenergy & Wastes,25.017139484,GWh
S12000026,Scottish Borders,Local Authority,2017,Domestic,Coal,34.713875327,GWh
S12000026,Scottish Borders,Local Authority,2016,Domestic,Coal,35.620398646,GWh
S12000040,West Lothian,Local Authority,2012,Domestic,Gas,1069.8865455,GWh
S12000026,Scottish Borders,Local Authority,2016,Domestic,Bioenergy & Wastes,56.547813379,GWh
S12000040,West Lothian,Local Authority,2012,Domestic,Manufactured Fuels,6.1184792443,GWh
S12000026,Scottish Borders,Local Authority,2016,Domestic,Gas,501.5533518,GWh
S12000026,Scottish Borders,Local Authority,2016,Domestic,Manufactured Fuels,17.477536088,GWh
S12000026,Scottish Borders,Local Authority,2016,Domestic,Electricity,252.4314848,GWh
S12000026,Scottish Borders,Local Authority,2012,Domestic,Manufactured Fuels,18.61359867,GWh
S12000040,West Lothian,Local Authority,2014,Domestic,Electricity,297.9443203,GWh
S12000026,Scottish Borders,Local Authority,2012,Domestic,Electricity,272.8208647,GWh
S12000026,Scottish Borders,Local Authority,2012,Domestic,Gas,526.26562554,GWh
S12000026,Scottish Borders,Local Authority,2013,Domestic,Bioenergy & Wastes,49.040055261,GWh
S12000045,East Dunbartonshire,Local Authority,2016,Domestic,Bioenergy & Wastes,25.167666714,GWh
S12000026,Scottish Borders,Local Authority,2012,Domestic,Petroleum Products,213.06570423,GWh
S12000040,West Lothian,Local Authority,2014,Domestic,Coal,10.158379993,GWh
S12000040,West Lothian,Local Authority,2014,Domestic,Petroleum Products,27.890560072,GWh
S12000026,Scottish Borders,Local Authority,2012,Domestic,Bioenergy & Wastes,41.656483539,GWh
S12000026,Scottish Borders,Local Authority,2011,Domestic,Petroleum Products,213.79780156,GWh
S12000045,East Dunbartonshire,Local Authority,2015,Domestic,Petroleum Products,8.8544007262,GWh
S12000026,Scottish Borders,Local Authority,2012,Domestic,Coal,43.443738942,GWh
S12000040,West Lothian,Local Authority,2014,Domestic,Gas,1033.237,GWh
S12000040,West Lothian,Local Authority,2014,Domestic,Manufactured Fuels,6.2779101926,GWh
S12000040,West Lothian,Local Authority,2013,Domestic,Manufactured Fuels,6.747714905,GWh
S12000026,Scottish Borders,Local Authority,2014,Domestic,Coal,35.580802857,GWh
S12000040,West Lothian,Local Authority,2013,Domestic,Petroleum Products,30.623516939,GWh
S12000026,Scottish Borders,Local Authority,2014,Domestic,Bioenergy & Wastes,46.582304062,GWh
S12000026,Scottish Borders,Local Authority,2014,Domestic,Gas,504.9064,GWh
