area_code,reference_area,area_type,year,business_demography,measure_type,value,units
S12000045,East Dunbartonshire,Local Authority,2010,De-Registrations,Count,285,De-Registrations
S12000010,East Lothian,Local Authority,2010,De-Registrations,Count,230,De-Registrations
S12000017,Highland,Local Authority,2010,De-Registrations,Count,760,De-Registrations
S12000018,Inverclyde,Local Authority,2010,De-Registrations,Count,195,De-Registrations
S12000047,Fife,Local Authority,2010,De-Registrations,Count,895,De-Registrations
S12000036,City of Edinburgh,Local Authority,2010,De-Registrations,Count,1745,De-Registrations
S12000005,Clackmannanshire,Local Authority,2010,De-Registrations,Count,120,De-Registrations
S12000041,Angus,Local Authority,2010,De-Registrations,Count,295,De-Registrations
S12000035,Argyll and Bute,Local Authority,2010,De-Registrations,Count,270,De-Registrations
S12000042,Dundee City,Local Authority,2010,De-Registrations,Count,370,De-Registrations
S12000008,East Ayrshire,Local Authority,2010,De-Registrations,Count,265,De-Registrations
S12000006,Dumfries and Galloway,Local Authority,2010,De-Registrations,Count,425,De-Registrations
S12000048,Perth and Kinross,Local Authority,2012,De-Registrations,Count,485,De-Registrations
S12000038,Renfrewshire,Local Authority,2012,De-Registrations,Count,490,De-Registrations
S12000021,North Ayrshire,Local Authority,2012,De-Registrations,Count,325,De-Registrations
S12000023,Orkney Islands,Local Authority,2012,De-Registrations,Count,75,De-Registrations
S12000028,South Ayrshire,Local Authority,2012,De-Registrations,Count,335,De-Registrations
S12000029,South Lanarkshire,Local Authority,2012,De-Registrations,Count,890,De-Registrations
S12000026,Scottish Borders,Local Authority,2012,De-Registrations,Count,350,De-Registrations
S12000027,Shetland Islands,Local Authority,2012,De-Registrations,Count,55,De-Registrations
S12000017,Highland,Local Authority,2012,De-Registrations,Count,765,De-Registrations
S12000018,Inverclyde,Local Authority,2012,De-Registrations,Count,185,De-Registrations
S12000014,Falkirk,Local Authority,2012,De-Registrations,Count,375,De-Registrations
S12000047,Fife,Local Authority,2012,De-Registrations,Count,905,De-Registrations
S12000020,Moray,Local Authority,2012,De-Registrations,Count,235,De-Registrations
S12000013,Na h-Eileanan Siar,Local Authority,2012,De-Registrations,Count,85,De-Registrations
S12000019,Midlothian,Local Authority,2012,De-Registrations,Count,205,De-Registrations
S12000005,Clackmannanshire,Local Authority,2013,De-Registrations,Count,115,De-Registrations
S12000006,Dumfries and Galloway,Local Authority,2013,De-Registrations,Count,320,De-Registrations
S12000035,Argyll and Bute,Local Authority,2013,De-Registrations,Count,295,De-Registrations
S12000036,City of Edinburgh,Local Authority,2013,De-Registrations,Count,1785,De-Registrations
S12000008,East Ayrshire,Local Authority,2013,De-Registrations,Count,250,De-Registrations
S12000045,East Dunbartonshire,Local Authority,2013,De-Registrations,Count,255,De-Registrations
S12000042,Dundee City,Local Authority,2013,De-Registrations,Count,345,De-Registrations
S12000040,West Lothian,Local Authority,2012,De-Registrations,Count,475,De-Registrations
S12000030,Stirling,Local Authority,2012,De-Registrations,Count,360,De-Registrations
S12000039,West Dunbartonshire,Local Authority,2012,De-Registrations,Count,190,De-Registrations
S12000034,Aberdeenshire,Local Authority,2013,De-Registrations,Count,805,De-Registrations
S12000041,Angus,Local Authority,2013,De-Registrations,Count,285,De-Registrations
S12000033,Aberdeen City,Local Authority,2013,De-Registrations,Count,880,De-Registrations
S12000026,Scottish Borders,Local Authority,2011,De-Registrations,Count,300,De-Registrations
S12000027,Shetland Islands,Local Authority,2011,De-Registrations,Count,50,De-Registrations
S12000048,Perth and Kinross,Local Authority,2011,De-Registrations,Count,425,De-Registrations
S12000038,Renfrewshire,Local Authority,2011,De-Registrations,Count,425,De-Registrations
S12000030,Stirling,Local Authority,2011,De-Registrations,Count,330,De-Registrations
S12000039,West Dunbartonshire,Local Authority,2011,De-Registrations,Count,135,De-Registrations
S12000028,South Ayrshire,Local Authority,2011,De-Registrations,Count,280,De-Registrations
S12000029,South Lanarkshire,Local Authority,2011,De-Registrations,Count,810,De-Registrations
S12000019,Midlothian,Local Authority,2011,De-Registrations,Count,170,De-Registrations
S12000020,Moray,Local Authority,2011,De-Registrations,Count,205,De-Registrations
S12000017,Highland,Local Authority,2011,De-Registrations,Count,635,De-Registrations
S12000018,Inverclyde,Local Authority,2011,De-Registrations,Count,120,De-Registrations
S12000021,North Ayrshire,Local Authority,2011,De-Registrations,Count,265,De-Registrations
S12000023,Orkney Islands,Local Authority,2011,De-Registrations,Count,60,De-Registrations
S12000013,Na h-Eileanan Siar,Local Authority,2011,De-Registrations,Count,70,De-Registrations
S12000042,Dundee City,Local Authority,2012,De-Registrations,Count,370,De-Registrations
S12000008,East Ayrshire,Local Authority,2012,De-Registrations,Count,290,De-Registrations
S12000005,Clackmannanshire,Local Authority,2012,De-Registrations,Count,125,De-Registrations
S12000006,Dumfries and Galloway,Local Authority,2012,De-Registrations,Count,420,De-Registrations
S12000010,East Lothian,Local Authority,2012,De-Registrations,Count,245,De-Registrations
S12000011,East Renfrewshire,Local Authority,2012,De-Registrations,Count,265,De-Registrations
S12000045,East Dunbartonshire,Local Authority,2012,De-Registrations,Count,325,De-Registrations
S12000033,Aberdeen City,Local Authority,2012,De-Registrations,Count,885,De-Registrations
S12000034,Aberdeenshire,Local Authority,2012,De-Registrations,Count,985,De-Registrations
S12000040,West Lothian,Local Authority,2011,De-Registrations,Count,425,De-Registrations
S12000035,Argyll and Bute,Local Authority,2012,De-Registrations,Count,310,De-Registrations
S12000036,City of Edinburgh,Local Authority,2012,De-Registrations,Count,1825,De-Registrations
S12000041,Angus,Local Authority,2012,De-Registrations,Count,310,De-Registrations
S12000041,Angus,Local Authority,2007,De-Registrations,Count,215,De-Registrations
S12000035,Argyll and Bute,Local Authority,2007,De-Registrations,Count,245,De-Registrations
S12000033,Aberdeen City,Local Authority,2007,De-Registrations,Count,665,De-Registrations
S12000034,Aberdeenshire,Local Authority,2007,De-Registrations,Count,585,De-Registrations
S12000006,Dumfries and Galloway,Local Authority,2007,De-Registrations,Count,280,De-Registrations
S12000042,Dundee City,Local Authority,2007,De-Registrations,Count,285,De-Registrations
S12000036,City of Edinburgh,Local Authority,2007,De-Registrations,Count,1485,De-Registrations
S12000005,Clackmannanshire,Local Authority,2007,De-Registrations,Count,85,De-Registrations
S12000029,South Lanarkshire,Local Authority,2006,De-Registrations,Count,640,De-Registrations
S12000030,Stirling,Local Authority,2006,De-Registrations,Count,255,De-Registrations
S12000027,Shetland Islands,Local Authority,2006,De-Registrations,Count,60,De-Registrations
S12000028,South Ayrshire,Local Authority,2006,De-Registrations,Count,300,De-Registrations
S12000040,West Lothian,Local Authority,2006,De-Registrations,Count,370,De-Registrations
S12000039,West Dunbartonshire,Local Authority,2006,De-Registrations,Count,135,De-Registrations
S12000020,Moray,Local Authority,2007,De-Registrations,Count,185,De-Registrations
S12000013,Na h-Eileanan Siar,Local Authority,2007,De-Registrations,Count,55,De-Registrations
S12000018,Inverclyde,Local Authority,2007,De-Registrations,Count,135,De-Registrations
