area_code,reference_area,area_type,year,value,units
S12000020,Moray,Local Authority,2017,6159,Expenditure
S12000020,Moray,Local Authority,2011,7973,Expenditure
S12000020,Moray,Local Authority,2005,9779,Expenditure
S12000020,Moray,Local Authority,2007,8059,Expenditure
S12000020,Moray,Local Authority,2010,9014,Expenditure
S12000020,Moray,Local Authority,2009,10415,Expenditure
S12000020,Moray,Local Authority,2018,5460,Expenditure
S12000020,Moray,Local Authority,2016,5849,Expenditure
S12000021,North Ayrshire,Local Authority,2014,11949,Expenditure
S12000021,North Ayrshire,Local Authority,2009,13310,Expenditure
S12000021,North Ayrshire,Local Authority,2006,10910,Expenditure
S12000021,North Ayrshire,Local Authority,2010,12847,Expenditure
S12000021,North Ayrshire,Local Authority,2016,11488,Expenditure
S12000021,North Ayrshire,Local Authority,2008,11678,Expenditure
S12000021,North Ayrshire,Local Authority,2017,11904,Expenditure
S12000021,North Ayrshire,Local Authority,2018,11433,Expenditure
S12000021,North Ayrshire,Local Authority,2012,12411,Expenditure
S12000021,North Ayrshire,Local Authority,2011,11516,Expenditure
S12000021,North Ayrshire,Local Authority,2005,13447,Expenditure
S12000021,North Ayrshire,Local Authority,2007,11279,Expenditure
S12000021,North Ayrshire,Local Authority,2015,12199,Expenditure
S12000023,Orkney Islands,Local Authority,2009,13519,Expenditure
S12000023,Orkney Islands,Local Authority,2006,10711,Expenditure
S12000023,Orkney Islands,Local Authority,2014,12633,Expenditure
S12000023,Orkney Islands,Local Authority,2012,11878,Expenditure
S12000023,Orkney Islands,Local Authority,2011,12448,Expenditure
S12000023,Orkney Islands,Local Authority,2007,11298,Expenditure
S12000023,Orkney Islands,Local Authority,2017,12602,Expenditure
S12000023,Orkney Islands,Local Authority,2008,13259,Expenditure
S12000023,Orkney Islands,Local Authority,2010,13327,Expenditure
S12000023,Orkney Islands,Local Authority,2005,10879,Expenditure
S12000023,Orkney Islands,Local Authority,2015,12500,Expenditure
S12000023,Orkney Islands,Local Authority,2016,12561,Expenditure
S12000023,Orkney Islands,Local Authority,2018,9843,Expenditure
S12000026,Scottish Borders,Local Authority,2006,13221,Expenditure
S12000026,Scottish Borders,Local Authority,2012,15945,Expenditure
S12000026,Scottish Borders,Local Authority,2018,11144,Expenditure
S12000026,Scottish Borders,Local Authority,2005,15272,Expenditure
S12000026,Scottish Borders,Local Authority,2007,13558,Expenditure
S12000026,Scottish Borders,Local Authority,2014,14529,Expenditure
S12000026,Scottish Borders,Local Authority,2010,19797,Expenditure
S12000026,Scottish Borders,Local Authority,2015,14214,Expenditure
S12000026,Scottish Borders,Local Authority,2016,13618,Expenditure
S12000026,Scottish Borders,Local Authority,2017,11860,Expenditure
S12000026,Scottish Borders,Local Authority,2011,13185,Expenditure
S12000026,Scottish Borders,Local Authority,2008,14494,Expenditure
S12000026,Scottish Borders,Local Authority,2009,14361,Expenditure
S12000027,Shetland Islands,Local Authority,2014,18805,Expenditure
S12000027,Shetland Islands,Local Authority,2009,20801,Expenditure
S12000027,Shetland Islands,Local Authority,2010,20979,Expenditure
S12000027,Shetland Islands,Local Authority,2008,19366,Expenditure
S12000027,Shetland Islands,Local Authority,2015,23456,Expenditure
S12000027,Shetland Islands,Local Authority,2018,18436,Expenditure
S12000027,Shetland Islands,Local Authority,2011,25759,Expenditure
S12000027,Shetland Islands,Local Authority,2017,21725,Expenditure
S12000027,Shetland Islands,Local Authority,2016,23327,Expenditure
S12000027,Shetland Islands,Local Authority,2007,17994,Expenditure
S12000027,Shetland Islands,Local Authority,2006,17988,Expenditure
S12000027,Shetland Islands,Local Authority,2005,18584,Expenditure
S12000027,Shetland Islands,Local Authority,2012,20279,Expenditure
S12000028,South Ayrshire,Local Authority,2017,10596,Expenditure
S12000028,South Ayrshire,Local Authority,2012,10926,Expenditure
S12000028,South Ayrshire,Local Authority,2007,9966,Expenditure
S12000028,South Ayrshire,Local Authority,2016,10443,Expenditure
S12000028,South Ayrshire,Local Authority,2018,9395,Expenditure
S12000028,South Ayrshire,Local Authority,2008,10025,Expenditure
S12000028,South Ayrshire,Local Authority,2011,11049,Expenditure
S12000028,South Ayrshire,Local Authority,2010,9570,Expenditure
S12000028,South Ayrshire,Local Authority,2009,9603,Expenditure
S12000028,South Ayrshire,Local Authority,2015,10764,Expenditure
S12000028,South Ayrshire,Local Authority,2006,9887,Expenditure
S12000028,South Ayrshire,Local Authority,2005,10941,Expenditure
S12000028,South Ayrshire,Local Authority,2014,10644,Expenditure
S12000029,South Lanarkshire,Local Authority,2017,29488,Expenditure
S12000029,South Lanarkshire,Local Authority,2015,35195,Expenditure
S12000029,South Lanarkshire,Local Authority,2014,34661,Expenditure
S12000029,South Lanarkshire,Local Authority,2007,32716,Expenditure
S12000029,South Lanarkshire,Local Authority,2009,35108,Expenditure
S12000029,South Lanarkshire,Local Authority,2006,32242,Expenditure
S12000029,South Lanarkshire,Local Authority,2010,37163,Expenditure
S12000029,South Lanarkshire,Local Authority,2012,36820,Expenditure
S12000029,South Lanarkshire,Local Authority,2016,27714,Expenditure
S12000029,South Lanarkshire,Local Authority,2008,31609,Expenditure
S12000029,South Lanarkshire,Local Authority,2011,36393,Expenditure
S12000029,South Lanarkshire,Local Authority,2005,37166,Expenditure
S12000029,South Lanarkshire,Local Authority,2018,23558,Expenditure
S12000030,Stirling,Local Authority,2015,8772,Expenditure
S12000030,Stirling,Local Authority,2018,8164,Expenditure
S12000030,Stirling,Local Authority,2017,6980,Expenditure
S12000030,Stirling,Local Authority,2016,8385,Expenditure
S12000030,Stirling,Local Authority,2014,9024,Expenditure
S12000030,Stirling,Local Authority,2008,8537,Expenditure
S12000030,Stirling,Local Authority,2009,8745,Expenditure
S12000030,Stirling,Local Authority,2012,9747,Expenditure
S12000030,Stirling,Local Authority,2006,7058,Expenditure
S12000030,Stirling,Local Authority,2010,10469,Expenditure
S12000030,Stirling,Local Authority,2007,7347,Expenditure
S12000030,Stirling,Local Authority,2011,10808,Expenditure
S12000030,Stirling,Local Authority,2005,8064,Expenditure
S12000033,Aberdeen City,Local Authority,2009,11461,Expenditure
S12000033,Aberdeen City,Local Authority,2011,11077,Expenditure
S12000033,Aberdeen City,Local Authority,2018,8656,Expenditure
S12000033,Aberdeen City,Local Authority,2014,10920,Expenditure
S12000033,Aberdeen City,Local Authority,2008,10629,Expenditure
S12000033,Aberdeen City,Local Authority,2006,10766,Expenditure
S12000033,Aberdeen City,Local Authority,2005,17531,Expenditure
S12000033,Aberdeen City,Local Authority,2016,10686,Expenditure
S12000033,Aberdeen City,Local Authority,2012,9868,Expenditure
S12000033,Aberdeen City,Local Authority,2017,12610,Expenditure
S12000033,Aberdeen City,Local Authority,2007,10336,Expenditure
S12000033,Aberdeen City,Local Authority,2010,9995,Expenditure
S12000033,Aberdeen City,Local Authority,2015,10576,Expenditure
S12000034,Aberdeenshire,Local Authority,2005,27017,Expenditure
S12000034,Aberdeenshire,Local Authority,2017,24993,Expenditure
S12000034,Aberdeenshire,Local Authority,2006,22044,Expenditure
S12000034,Aberdeenshire,Local Authority,2009,31223,Expenditure
S12000034,Aberdeenshire,Local Authority,2015,36418,Expenditure
S12000034,Aberdeenshire,Local Authority,2010,30989,Expenditure
S12000034,Aberdeenshire,Local Authority,2011,25663,Expenditure
S12000034,Aberdeenshire,Local Authority,2007,23423,Expenditure
S12000034,Aberdeenshire,Local Authority,2012,29948,Expenditure
S12000034,Aberdeenshire,Local Authority,2016,24172,Expenditure
S12000034,Aberdeenshire,Local Authority,2018,16701,Expenditure
S12000034,Aberdeenshire,Local Authority,2014,37555,Expenditure
S12000034,Aberdeenshire,Local Authority,2008,27467,Expenditure
S12000035,Argyll and Bute,Local Authority,2007,14671,Expenditure
S12000035,Argyll and Bute,Local Authority,2010,20377,Expenditure
S12000035,Argyll and Bute,Local Authority,2014,19134,Expenditure
S12000035,Argyll and Bute,Local Authority,2009,18766,Expenditure
S12000035,Argyll and Bute,Local Authority,2016,13337,Expenditure
S12000035,Argyll and Bute,Local Authority,2018,13735,Expenditure
S12000035,Argyll and Bute,Local Authority,2015,14205,Expenditure
S12000035,Argyll and Bute,Local Authority,2011,16195,Expenditure
S12000035,Argyll and Bute,Local Authority,2006,13082,Expenditure
S12000035,Argyll and Bute,Local Authority,2017,14208,Expenditure
S12000035,Argyll and Bute,Local Authority,2005,14745,Expenditure
S12000035,Argyll and Bute,Local Authority,2012,14836,Expenditure
S12000035,Argyll and Bute,Local Authority,2008,18184,Expenditure
S12000036,City of Edinburgh,Local Authority,2012,15801,Expenditure
S12000036,City of Edinburgh,Local Authority,2015,13091,Expenditure
S12000036,City of Edinburgh,Local Authority,2016,8927,Expenditure
S12000036,City of Edinburgh,Local Authority,2017,5785,Expenditure
S12000036,City of Edinburgh,Local Authority,2007,10566,Expenditure
S12000036,City of Edinburgh,Local Authority,2008,11549,Expenditure
S12000036,City of Edinburgh,Local Authority,2014,14399,Expenditure
S12000036,City of Edinburgh,Local Authority,2006,13879,Expenditure
S12000036,City of Edinburgh,Local Authority,2009,14492,Expenditure
S12000036,City of Edinburgh,Local Authority,2005,22364,Expenditure
S12000036,City of Edinburgh,Local Authority,2011,14033,Expenditure
S12000036,City of Edinburgh,Local Authority,2018,-9058,Expenditure
S12000036,City of Edinburgh,Local Authority,2010,15946,Expenditure
S12000038,Renfrewshire,Local Authority,2016,13258,Expenditure
S12000038,Renfrewshire,Local Authority,2007,12270,Expenditure
S12000038,Renfrewshire,Local Authority,2009,14562,Expenditure
S12000038,Renfrewshire,Local Authority,2008,13278,Expenditure
S12000038,Renfrewshire,Local Authority,2011,12403,Expenditure
S12000038,Renfrewshire,Local Authority,2005,16275,Expenditure
S12000038,Renfrewshire,Local Authority,2006,12175,Expenditure
S12000038,Renfrewshire,Local Authority,2012,13358,Expenditure
S12000038,Renfrewshire,Local Authority,2018,12880,Expenditure
S12000038,Renfrewshire,Local Authority,2014,12779,Expenditure
S12000038,Renfrewshire,Local Authority,2010,13847,Expenditure
S12000038,Renfrewshire,Local Authority,2015,13330,Expenditure
S12000038,Renfrewshire,Local Authority,2017,14522,Expenditure
S12000041,Angus,Local Authority,2008,16443,Expenditure
S12000041,Angus,Local Authority,2018,10590,Expenditure
S12000041,Angus,Local Authority,2005,15074,Expenditure
S12000041,Angus,Local Authority,2015,12996,Expenditure
S12000041,Angus,Local Authority,2012,14746,Expenditure
S12000041,Angus,Local Authority,2014,12976,Expenditure
S12000041,Angus,Local Authority,2017,11231,Expenditure
S12000041,Angus,Local Authority,2006,14351,Expenditure
S12000041,Angus,Local Authority,2009,17932,Expenditure
S12000041,Angus,Local Authority,2010,13461,Expenditure
S12000041,Angus,Local Authority,2016,10210,Expenditure
S12000041,Angus,Local Authority,2011,12573,Expenditure
S12000041,Angus,Local Authority,2007,15977,Expenditure
S12000042,Dundee City,Local Authority,2016,6392,Expenditure
S12000042,Dundee City,Local Authority,2018,5138,Expenditure
S12000042,Dundee City,Local Authority,2006,7867,Expenditure
S12000042,Dundee City,Local Authority,2017,6803,Expenditure
S12000042,Dundee City,Local Authority,2005,12132,Expenditure
S12000042,Dundee City,Local Authority,2007,6787,Expenditure
S12000042,Dundee City,Local Authority,2008,3751,Expenditure
S12000042,Dundee City,Local Authority,2012,9793,Expenditure
S12000042,Dundee City,Local Authority,2015,9081,Expenditure
S12000042,Dundee City,Local Authority,2014,7765,Expenditure
S12000042,Dundee City,Local Authority,2011,7805,Expenditure
S12000042,Dundee City,Local Authority,2009,8217,Expenditure
S12000042,Dundee City,Local Authority,2010,9628,Expenditure
S12000045,East Dunbartonshire,Local Authority,2016,7194,Expenditure
S12000045,East Dunbartonshire,Local Authority,2006,8860,Expenditure
S12000045,East Dunbartonshire,Local Authority,2015,8249,Expenditure
S12000045,East Dunbartonshire,Local Authority,2017,31148,Expenditure
S12000045,East Dunbartonshire,Local Authority,2010,9192,Expenditure
S12000045,East Dunbartonshire,Local Authority,2018,28372,Expenditure
S12000045,East Dunbartonshire,Local Authority,2007,7577,Expenditure
S12000045,East Dunbartonshire,Local Authority,2012,36903,Expenditure
S12000045,East Dunbartonshire,Local Authority,2011,8747,Expenditure
S12000045,East Dunbartonshire,Local Authority,2009,7535,Expenditure
S12000045,East Dunbartonshire,Local Authority,2008,7363,Expenditure
S12000045,East Dunbartonshire,Local Authority,2014,8179,Expenditure
S12000045,East Dunbartonshire,Local Authority,2005,12483,Expenditure
S12000047,Fife,Local Authority,2008,34710,Expenditure
S12000047,Fife,Local Authority,2009,38572,Expenditure
S12000047,Fife,Local Authority,2016,29397,Expenditure
S12000047,Fife,Local Authority,2012,27916,Expenditure
S12000047,Fife,Local Authority,2018,21704,Expenditure
S12000047,Fife,Local Authority,2011,35951,Expenditure
S12000047,Fife,Local Authority,2007,30777,Expenditure
S12000047,Fife,Local Authority,2014,35030,Expenditure
S12000047,Fife,Local Authority,2005,35074,Expenditure
S12000047,Fife,Local Authority,2017,24918,Expenditure
S12000047,Fife,Local Authority,2010,41504,Expenditure
S12000047,Fife,Local Authority,2015,33847,Expenditure
S12000047,Fife,Local Authority,2006,29828,Expenditure
S12000048,Perth and Kinross,Local Authority,2015,13561,Expenditure
S12000048,Perth and Kinross,Local Authority,2010,15783,Expenditure
S12000048,Perth and Kinross,Local Authority,2016,12429,Expenditure
S12000048,Perth and Kinross,Local Authority,2018,25130,Expenditure
S12000048,Perth and Kinross,Local Authority,2012,26727,Expenditure
S12000048,Perth and Kinross,Local Authority,2006,13767,Expenditure
S12000048,Perth and Kinross,Local Authority,2017,26121,Expenditure
S12000048,Perth and Kinross,Local Authority,2005,14450,Expenditure
S12000048,Perth and Kinross,Local Authority,2011,13032,Expenditure
S12000048,Perth and Kinross,Local Authority,2008,14600,Expenditure
S12000048,Perth and Kinross,Local Authority,2007,15535,Expenditure
S12000048,Perth and Kinross,Local Authority,2014,12636,Expenditure
S12000048,Perth and Kinross,Local Authority,2009,15028,Expenditure
