area_code,reference_area,area_type,year,gender,working_pattern,population_group,measure_type,value,units
S12000036,City of Edinburgh,Local Authority,2005,Male,Full Time,Residence Based,Median,495.4,Pounds (GBP)
S12000017,Highland,Local Authority,2008,Male,Full Time,Workplace Based,Mean,534.3,Pounds (GBP)
S12000036,City of Edinburgh,Local Authority,2005,Male,Full Time,Residence Based,Mean,573.7,Pounds (GBP)
S12000017,Highland,Local Authority,2008,Male,Full Time,Workplace Based,Median,463.5,Pounds (GBP)
S12000021,North Ayrshire,Local Authority,2013,Male,Full Time,Residence Based,Median,529.7,Pounds (GBP)
S12000019,Midlothian,Local Authority,2005,Male,Full Time,Residence Based,Mean,491.9,Pounds (GBP)
S12000018,Inverclyde,Local Authority,2008,Male,Full Time,Workplace Based,Median,432.9,Pounds (GBP)
S12000029,South Lanarkshire,Local Authority,2012,Male,Full Time,Residence Based,Median,550.3,Pounds (GBP)
S12000013,Na h-Eileanan Siar,Local Authority,2013,Male,Full Time,Residence Based,Mean,556.2,Pounds (GBP)
S12000013,Na h-Eileanan Siar,Local Authority,2013,Male,Full Time,Residence Based,Median,544.3,Pounds (GBP)
S12000014,Falkirk,Local Authority,2008,Male,Full Time,Workplace Based,Median,463.2,Pounds (GBP)
S12000019,Midlothian,Local Authority,2005,Male,Full Time,Residence Based,Median,389.8,Pounds (GBP)
S12000021,North Ayrshire,Local Authority,2013,Male,Full Time,Residence Based,Mean,601.8,Pounds (GBP)
S12000028,South Ayrshire,Local Authority,2013,Male,Full Time,Residence Based,Mean,655.3,Pounds (GBP)
S12000041,Angus,Local Authority,2005,Male,Full Time,Residence Based,Median,438,Pounds (GBP)
S12000028,South Ayrshire,Local Authority,2013,Male,Full Time,Residence Based,Median,562.6,Pounds (GBP)
S12000034,Aberdeenshire,Local Authority,2008,Male,Full Time,Workplace Based,Median,530.1,Pounds (GBP)
S12000029,South Lanarkshire,Local Authority,2013,Male,Full Time,Residence Based,Mean,642.9,Pounds (GBP)
S12000034,Aberdeenshire,Local Authority,2008,Male,Full Time,Workplace Based,Mean,604.4,Pounds (GBP)
S12000029,South Lanarkshire,Local Authority,2013,Male,Full Time,Residence Based,Median,558.1,Pounds (GBP)
S12000041,Angus,Local Authority,2005,Male,Full Time,Residence Based,Mean,515.8,Pounds (GBP)
S12000040,West Lothian,Local Authority,2012,Male,Full Time,Residence Based,Median,515.8,Pounds (GBP)
S12000014,Falkirk,Local Authority,2009,Male,Full Time,Workplace Based,Median,497.8,Pounds (GBP)
S12000017,Highland,Local Authority,2005,Male,Full Time,Residence Based,Median,405.7,Pounds (GBP)
S12000014,Falkirk,Local Authority,2009,Male,Full Time,Workplace Based,Mean,545.9,Pounds (GBP)
S12000040,West Lothian,Local Authority,2012,Male,Full Time,Residence Based,Mean,713,Pounds (GBP)
S12000039,West Dunbartonshire,Local Authority,2012,Male,Full Time,Residence Based,Median,516.4,Pounds (GBP)
S12000045,East Dunbartonshire,Local Authority,2009,Male,Full Time,Workplace Based,Median,526.4,Pounds (GBP)
S12000045,East Dunbartonshire,Local Authority,2009,Male,Full Time,Workplace Based,Mean,574.9,Pounds (GBP)
S12000035,Argyll and Bute,Local Authority,2008,Male,Full Time,Workplace Based,Median,500.9,Pounds (GBP)
S12000035,Argyll and Bute,Local Authority,2008,Male,Full Time,Workplace Based,Mean,553.5,Pounds (GBP)
S12000033,Aberdeen City,Local Authority,2013,Male,Full Time,Residence Based,Mean,742.6,Pounds (GBP)
S12000033,Aberdeen City,Local Authority,2013,Male,Full Time,Residence Based,Median,589.8,Pounds (GBP)
S12000017,Highland,Local Authority,2005,Male,Full Time,Residence Based,Mean,493.5,Pounds (GBP)
S12000011,East Renfrewshire,Local Authority,2009,Male,Full Time,Workplace Based,Median,433.1,Pounds (GBP)
S12000018,Inverclyde,Local Authority,2005,Male,Full Time,Residence Based,Mean,504.3,Pounds (GBP)
S12000030,Stirling,Local Authority,2012,Male,Full Time,Residence Based,Median,556.6,Pounds (GBP)
S12000029,South Lanarkshire,Local Authority,2012,Male,Full Time,Residence Based,Mean,614.4,Pounds (GBP)
S12000047,Fife,Local Authority,2005,Male,Full Time,Residence Based,Median,450,Pounds (GBP)
S12000010,East Lothian,Local Authority,2009,Male,Full Time,Workplace Based,Mean,534.3,Pounds (GBP)
S12000018,Inverclyde,Local Authority,2005,Male,Full Time,Residence Based,Median,418.6,Pounds (GBP)
S12000028,South Ayrshire,Local Authority,2005,Male,Full Time,Residence Based,Mean,546.8,Pounds (GBP)
S12000028,South Ayrshire,Local Authority,2005,Male,Full Time,Residence Based,Median,489.7,Pounds (GBP)
S12000039,West Dunbartonshire,Local Authority,2012,Male,Full Time,Residence Based,Mean,609.2,Pounds (GBP)
S12000030,Stirling,Local Authority,2012,Male,Full Time,Residence Based,Mean,839.9,Pounds (GBP)
S12000010,East Lothian,Local Authority,2009,Male,Full Time,Workplace Based,Median,456.2,Pounds (GBP)
S12000029,South Lanarkshire,Local Authority,2008,Male,Full Time,Workplace Based,Median,502.6,Pounds (GBP)
S12000042,Dundee City,Local Authority,2009,Male,Full Time,Workplace Based,Median,498.7,Pounds (GBP)
S12000048,Perth and Kinross,Local Authority,2008,Male,Full Time,Workplace Based,Mean,541.4,Pounds (GBP)
S12000029,South Lanarkshire,Local Authority,2008,Male,Full Time,Workplace Based,Mean,548.8,Pounds (GBP)
S12000018,Inverclyde,Local Authority,2012,Male,Full Time,Residence Based,Mean,591.2,Pounds (GBP)
S12000008,East Ayrshire,Local Authority,2009,Male,Full Time,Workplace Based,Mean,487.5,Pounds (GBP)
S12000017,Highland,Local Authority,2012,Male,Full Time,Residence Based,Median,511.5,Pounds (GBP)
S12000008,East Ayrshire,Local Authority,2009,Male,Full Time,Workplace Based,Median,425,Pounds (GBP)
S12000041,Angus,Local Authority,2009,Male,Full Time,Workplace Based,Median,455.6,Pounds (GBP)
S12000038,Renfrewshire,Local Authority,2008,Male,Full Time,Workplace Based,Mean,655.7,Pounds (GBP)
S12000026,Scottish Borders,Local Authority,2008,Male,Full Time,Workplace Based,Mean,481.3,Pounds (GBP)
S12000041,Angus,Local Authority,2009,Male,Full Time,Workplace Based,Mean,515.3,Pounds (GBP)
S12000011,East Renfrewshire,Local Authority,2012,Male,Full Time,Residence Based,Mean,772.1,Pounds (GBP)
S12000011,East Renfrewshire,Local Authority,2012,Male,Full Time,Residence Based,Median,655.4,Pounds (GBP)
S12000048,Perth and Kinross,Local Authority,2008,Male,Full Time,Workplace Based,Median,503.6,Pounds (GBP)
S12000010,East Lothian,Local Authority,2012,Male,Full Time,Residence Based,Mean,636.5,Pounds (GBP)
S12000006,Dumfries and Galloway,Local Authority,2009,Male,Full Time,Workplace Based,Median,465.5,Pounds (GBP)
S12000011,East Renfrewshire,Local Authority,2009,Male,Full Time,Workplace Based,Mean,475,Pounds (GBP)
S12000027,Shetland Islands,Local Authority,2013,Male,Full Time,Residence Based,Median,595.1,Pounds (GBP)
S12000042,Dundee City,Local Authority,2009,Male,Full Time,Workplace Based,Mean,584.5,Pounds (GBP)
S12000026,Scottish Borders,Local Authority,2013,Male,Full Time,Residence Based,Mean,628,Pounds (GBP)
S12000026,Scottish Borders,Local Authority,2013,Male,Full Time,Residence Based,Median,517.1,Pounds (GBP)
S12000006,Dumfries and Galloway,Local Authority,2009,Male,Full Time,Workplace Based,Mean,572.6,Pounds (GBP)
S12000005,Clackmannanshire,Local Authority,2009,Male,Full Time,Workplace Based,Mean,709,Pounds (GBP)
S12000019,Midlothian,Local Authority,2012,Male,Full Time,Residence Based,Mean,590.6,Pounds (GBP)
S12000023,Orkney Islands,Local Authority,2005,Male,Full Time,Residence Based,Median,418.2,Pounds (GBP)
S12000018,Inverclyde,Local Authority,2012,Male,Full Time,Residence Based,Median,478.3,Pounds (GBP)
S12000023,Orkney Islands,Local Authority,2005,Male,Full Time,Residence Based,Mean,477.9,Pounds (GBP)
S12000013,Na h-Eileanan Siar,Local Authority,2009,Male,Full Time,Workplace Based,Mean,572,Pounds (GBP)
S12000027,Shetland Islands,Local Authority,2013,Male,Full Time,Residence Based,Mean,666,Pounds (GBP)
S12000013,Na h-Eileanan Siar,Local Authority,2009,Male,Full Time,Workplace Based,Median,461.4,Pounds (GBP)
S12000033,Aberdeen City,Local Authority,2014,Male,Full Time,Residence Based,Median,612.2,Pounds (GBP)
S12000018,Inverclyde,Local Authority,2009,Male,Full Time,Workplace Based,Median,498.3,Pounds (GBP)
S12000030,Stirling,Local Authority,2008,Male,Full Time,Workplace Based,Median,452.8,Pounds (GBP)
S12000039,West Dunbartonshire,Local Authority,2004,Male,Full Time,Residence Based,Median,382.2,Pounds (GBP)
S12000019,Midlothian,Local Authority,2009,Male,Full Time,Workplace Based,Mean,598.9,Pounds (GBP)
S12000019,Midlothian,Local Authority,2009,Male,Full Time,Workplace Based,Median,528.9,Pounds (GBP)
S12000023,Orkney Islands,Local Authority,2013,Male,Full Time,Residence Based,Median,504,Pounds (GBP)
S12000023,Orkney Islands,Local Authority,2013,Male,Full Time,Residence Based,Mean,552.2,Pounds (GBP)
S12000033,Aberdeen City,Local Authority,2014,Male,Full Time,Residence Based,Mean,750.1,Pounds (GBP)
S12000027,Shetland Islands,Local Authority,2008,Male,Full Time,Workplace Based,Median,624.8,Pounds (GBP)
S12000040,West Lothian,Local Authority,2004,Male,Full Time,Residence Based,Median,444.2,Pounds (GBP)
S12000040,West Lothian,Local Authority,2004,Male,Full Time,Residence Based,Mean,494.6,Pounds (GBP)
S12000035,Argyll and Bute,Local Authority,2014,Male,Full Time,Residence Based,Mean,609.1,Pounds (GBP)
S12000035,Argyll and Bute,Local Authority,2014,Male,Full Time,Residence Based,Median,530.6,Pounds (GBP)
S12000027,Shetland Islands,Local Authority,2008,Male,Full Time,Workplace Based,Mean,649.9,Pounds (GBP)
S12000030,Stirling,Local Authority,2008,Male,Full Time,Workplace Based,Mean,531.6,Pounds (GBP)
S12000048,Perth and Kinross,Local Authority,2013,Male,Full Time,Residence Based,Median,527.5,Pounds (GBP)
S12000038,Renfrewshire,Local Authority,2008,Male,Full Time,Workplace Based,Median,553.6,Pounds (GBP)
S12000018,Inverclyde,Local Authority,2009,Male,Full Time,Workplace Based,Mean,535.6,Pounds (GBP)
S12000026,Scottish Borders,Local Authority,2008,Male,Full Time,Workplace Based,Median,427.3,Pounds (GBP)
S12000023,Orkney Islands,Local Authority,2008,Male,Full Time,Workplace Based,Mean,527,Pounds (GBP)
S12000019,Midlothian,Local Authority,2012,Male,Full Time,Residence Based,Median,470.2,Pounds (GBP)
S12000026,Scottish Borders,Local Authority,2005,Male,Full Time,Residence Based,Median,407.9,Pounds (GBP)
S12000026,Scottish Borders,Local Authority,2005,Male,Full Time,Residence Based,Mean,490.2,Pounds (GBP)
S12000028,South Ayrshire,Local Authority,2008,Male,Full Time,Workplace Based,Mean,568.7,Pounds (GBP)
S12000028,South Ayrshire,Local Authority,2008,Male,Full Time,Workplace Based,Median,514.7,Pounds (GBP)
S12000038,Renfrewshire,Local Authority,2013,Male,Full Time,Residence Based,Mean,646.2,Pounds (GBP)
S12000038,Renfrewshire,Local Authority,2013,Male,Full Time,Residence Based,Median,572.4,Pounds (GBP)
S12000034,Aberdeenshire,Local Authority,2014,Male,Full Time,Residence Based,Mean,767.8,Pounds (GBP)
S12000048,Perth and Kinross,Local Authority,2013,Male,Full Time,Residence Based,Mean,628.3,Pounds (GBP)
S12000034,Aberdeenshire,Local Authority,2014,Male,Full Time,Residence Based,Median,641.3,Pounds (GBP)
S12000010,East Lothian,Local Authority,2014,Male,Full Time,Residence Based,Median,532.2,Pounds (GBP)
S12000010,East Lothian,Local Authority,2014,Male,Full Time,Residence Based,Mean,671.4,Pounds (GBP)
S12000045,East Dunbartonshire,Local Authority,2014,Male,Full Time,Residence Based,Mean,820.1,Pounds (GBP)
S12000040,West Lothian,Local Authority,2019,Male,Full Time,Workplace Based,Mean,686.3,Pounds (GBP)
S12000042,Dundee City,Local Authority,2010,Male,Full Time,Workplace Based,Mean,604,Pounds (GBP)
S12000006,Dumfries and Galloway,Local Authority,2010,Male,Full Time,Workplace Based,Mean,565.1,Pounds (GBP)
S12000027,Shetland Islands,Local Authority,2004,Male,Full Time,Residence Based,Mean,495.5,Pounds (GBP)
S12000027,Shetland Islands,Local Authority,2004,Male,Full Time,Residence Based,Median,459.5,Pounds (GBP)
S12000039,West Dunbartonshire,Local Authority,2019,Male,Full Time,Workplace Based,Mean,749.9,Pounds (GBP)
S12000045,East Dunbartonshire,Local Authority,2010,Male,Full Time,Workplace Based,Mean,614.1,Pounds (GBP)
S12000050,North Lanarkshire,Local Authority,2009,Male,Full Time,Workplace Based,Mean,604.4,Pounds (GBP)
S12000045,East Dunbartonshire,Local Authority,2010,Male,Full Time,Workplace Based,Median,537.5,Pounds (GBP)
S12000008,East Ayrshire,Local Authority,2014,Male,Full Time,Residence Based,Median,555.2,Pounds (GBP)
S12000040,West Lothian,Local Authority,2019,Male,Full Time,Workplace Based,Median,617.8,Pounds (GBP)
S12000008,East Ayrshire,Local Authority,2010,Male,Full Time,Workplace Based,Median,451.2,Pounds (GBP)
S12000008,East Ayrshire,Local Authority,2010,Male,Full Time,Workplace Based,Mean,491.5,Pounds (GBP)
S12000045,East Dunbartonshire,Local Authority,2014,Male,Full Time,Residence Based,Median,646.8,Pounds (GBP)
S12000027,Shetland Islands,Local Authority,2019,Male,Full Time,Workplace Based,Median,592.4,Pounds (GBP)
S12000028,South Ayrshire,Local Authority,2004,Male,Full Time,Residence Based,Median,498.8,Pounds (GBP)
S12000028,South Ayrshire,Local Authority,2004,Male,Full Time,Residence Based,Mean,540.5,Pounds (GBP)
S12000008,East Ayrshire,Local Authority,2012,Male,Full Time,Residence Based,Mean,567.7,Pounds (GBP)
S12000021,North Ayrshire,Local Authority,2010,Male,Full Time,Workplace Based,Mean,566.2,Pounds (GBP)
S12000023,Orkney Islands,Local Authority,2010,Male,Full Time,Workplace Based,Median,660.6,Pounds (GBP)
S12000027,Shetland Islands,Local Authority,2019,Male,Full Time,Workplace Based,Mean,633.9,Pounds (GBP)
S12000018,Inverclyde,Local Authority,2004,Male,Full Time,Residence Based,Mean,498.9,Pounds (GBP)
S12000048,Perth and Kinross,Local Authority,2010,Male,Full Time,Workplace Based,Median,491.6,Pounds (GBP)
S12000006,Dumfries and Galloway,Local Authority,2010,Male,Full Time,Workplace Based,Median,474.3,Pounds (GBP)
S12000018,Inverclyde,Local Authority,2004,Male,Full Time,Residence Based,Median,414,Pounds (GBP)
S12000008,East Ayrshire,Local Authority,2014,Male,Full Time,Residence Based,Mean,591.9,Pounds (GBP)
S12000048,Perth and Kinross,Local Authority,2010,Male,Full Time,Workplace Based,Mean,531.4,Pounds (GBP)
S12000039,West Dunbartonshire,Local Authority,2014,Male,Full Time,Residence Based,Median,528.6,Pounds (GBP)
S12000028,South Ayrshire,Local Authority,2018,Male,Full Time,Workplace Based,Mean,723.9,Pounds (GBP)
S12000028,South Ayrshire,Local Authority,2018,Male,Full Time,Workplace Based,Median,629.2,Pounds (GBP)
S12000039,West Dunbartonshire,Local Authority,2014,Male,Full Time,Residence Based,Mean,621.6,Pounds (GBP)
S12000005,Clackmannanshire,Local Authority,2017,Male,Full Time,Workplace Based,Median,581,Pounds (GBP)
S12000005,Clackmannanshire,Local Authority,2017,Male,Full Time,Workplace Based,Mean,601.7,Pounds (GBP)
S12000036,City of Edinburgh,Local Authority,2017,Male,Full Time,Workplace Based,Median,625.9,Pounds (GBP)
S12000018,Inverclyde,Local Authority,2014,Male,Full Time,Residence Based,Mean,654.7,Pounds (GBP)
S12000035,Argyll and Bute,Local Authority,2017,Male,Full Time,Workplace Based,Median,546.6,Pounds (GBP)
S12000013,Na h-Eileanan Siar,Local Authority,2014,Male,Full Time,Residence Based,Median,477.6,Pounds (GBP)
S12000035,Argyll and Bute,Local Authority,2017,Male,Full Time,Workplace Based,Mean,673.9,Pounds (GBP)
S12000019,Midlothian,Local Authority,2004,Male,Full Time,Residence Based,Mean,510.3,Pounds (GBP)
S12000010,East Lothian,Local Authority,2017,Male,Full Time,Workplace Based,Mean,620.9,Pounds (GBP)
S12000019,Midlothian,Local Authority,2004,Male,Full Time,Residence Based,Median,421.4,Pounds (GBP)
S12000010,East Lothian,Local Authority,2017,Male,Full Time,Workplace Based,Median,527.2,Pounds (GBP)
S12000041,Angus,Local Authority,2017,Male,Full Time,Workplace Based,Mean,600.6,Pounds (GBP)
S12000040,West Lothian,Local Authority,2014,Male,Full Time,Residence Based,Mean,624.3,Pounds (GBP)
S12000041,Angus,Local Authority,2015,Male,Full Time,Residence Based,Median,563.5,Pounds (GBP)
S12000047,Fife,Local Authority,2004,Male,Full Time,Residence Based,Mean,506,Pounds (GBP)
S12000027,Shetland Islands,Local Authority,2018,Male,Full Time,Workplace Based,Median,666.6,Pounds (GBP)
S12000006,Dumfries and Galloway,Local Authority,2017,Male,Full Time,Workplace Based,Mean,601.5,Pounds (GBP)
S12000040,West Lothian,Local Authority,2014,Male,Full Time,Residence Based,Median,535.5,Pounds (GBP)
S12000006,Dumfries and Galloway,Local Authority,2017,Male,Full Time,Workplace Based,Median,481.5,Pounds (GBP)
S12000021,North Ayrshire,Local Authority,2017,Male,Full Time,Workplace Based,Median,579.2,Pounds (GBP)
S12000050,North Lanarkshire,Local Authority,2009,Male,Full Time,Workplace Based,Median,483.2,Pounds (GBP)
S12000036,City of Edinburgh,Local Authority,2017,Male,Full Time,Workplace Based,Mean,770.5,Pounds (GBP)
S12000021,North Ayrshire,Local Authority,2017,Male,Full Time,Workplace Based,Mean,605.6,Pounds (GBP)
S12000041,Angus,Local Authority,2015,Male,Full Time,Residence Based,Mean,620.2,Pounds (GBP)
S12000027,Shetland Islands,Local Authority,2018,Male,Full Time,Workplace Based,Mean,703.1,Pounds (GBP)
S12000047,Fife,Local Authority,2004,Male,Full Time,Residence Based,Median,430,Pounds (GBP)
S12000030,Stirling,Local Authority,2019,Male,Full Time,Workplace Based,Median,670.7,Pounds (GBP)
S12000005,Clackmannanshire,Local Authority,2012,Male,Full Time,Residence Based,Median,544.3,Pounds (GBP)
S12000047,Fife,Local Authority,2010,Male,Full Time,Workplace Based,Mean,578.8,Pounds (GBP)
S12000047,Fife,Local Authority,2010,Male,Full Time,Workplace Based,Median,493.5,Pounds (GBP)
S12000029,South Lanarkshire,Local Authority,2005,Male,Full Time,Residence Based,Median,447.6,Pounds (GBP)
S12000010,East Lothian,Local Authority,2010,Male,Full Time,Workplace Based,Mean,552.5,Pounds (GBP)
S12000005,Clackmannanshire,Local Authority,2012,Male,Full Time,Residence Based,Mean,617.5,Pounds (GBP)
S12000030,Stirling,Local Authority,2005,Male,Full Time,Residence Based,Mean,556.5,Pounds (GBP)
S12000010,East Lothian,Local Authority,2010,Male,Full Time,Workplace Based,Median,496.4,Pounds (GBP)
S12000017,Highland,Local Authority,2012,Male,Full Time,Residence Based,Mean,602.8,Pounds (GBP)
S12000014,Falkirk,Local Authority,2010,Male,Full Time,Workplace Based,Mean,578.2,Pounds (GBP)
S12000039,West Dunbartonshire,Local Authority,2019,Male,Full Time,Workplace Based,Median,678.3,Pounds (GBP)
S12000041,Angus,Local Authority,2012,Male,Full Time,Residence Based,Median,505.7,Pounds (GBP)
S12000041,Angus,Local Authority,2012,Male,Full Time,Residence Based,Mean,570.5,Pounds (GBP)
S12000011,East Renfrewshire,Local Authority,2010,Male,Full Time,Workplace Based,Mean,481.4,Pounds (GBP)
S12000034,Aberdeenshire,Local Authority,2013,Male,Full Time,Residence Based,Median,629.1,Pounds (GBP)
S12000034,Aberdeenshire,Local Authority,2013,Male,Full Time,Residence Based,Mean,773.7,Pounds (GBP)
S12000033,Aberdeen City,Local Authority,2008,Male,Full Time,Workplace Based,Mean,728.1,Pounds (GBP)
S12000033,Aberdeen City,Local Authority,2008,Male,Full Time,Workplace Based,Median,599.7,Pounds (GBP)
S12000047,Fife,Local Authority,2005,Male,Full Time,Residence Based,Mean,514.9,Pounds (GBP)
S12000041,Angus,Local Authority,2013,Male,Full Time,Residence Based,Mean,582.9,Pounds (GBP)
S12000041,Angus,Local Authority,2013,Male,Full Time,Residence Based,Median,515.3,Pounds (GBP)
S12000041,Angus,Local Authority,2008,Male,Full Time,Workplace Based,Median,446.3,Pounds (GBP)
S12000041,Angus,Local Authority,2008,Male,Full Time,Workplace Based,Mean,505.7,Pounds (GBP)
S12000042,Dundee City,Local Authority,2012,Male,Full Time,Residence Based,Mean,541.7,Pounds (GBP)
S12000018,Inverclyde,Local Authority,2017,Male,Full Time,Workplace Based,Mean,716.6,Pounds (GBP)
S12000018,Inverclyde,Local Authority,2017,Male,Full Time,Workplace Based,Median,563,Pounds (GBP)
S12000011,East Renfrewshire,Local Authority,2010,Male,Full Time,Workplace Based,Median,416.9,Pounds (GBP)
S12000027,Shetland Islands,Local Authority,2005,Male,Full Time,Residence Based,Median,469.8,Pounds (GBP)
S12000045,East Dunbartonshire,Local Authority,2012,Male,Full Time,Residence Based,Mean,797.4,Pounds (GBP)
S12000042,Dundee City,Local Authority,2012,Male,Full Time,Residence Based,Median,476.2,Pounds (GBP)
S12000048,Perth and Kinross,Local Authority,2018,Male,Full Time,Workplace Based,Median,560.3,Pounds (GBP)
S12000030,Stirling,Local Authority,2005,Male,Full Time,Residence Based,Median,464.2,Pounds (GBP)
S12000035,Argyll and Bute,Local Authority,2012,Male,Full Time,Residence Based,Mean,582.5,Pounds (GBP)
S12000045,East Dunbartonshire,Local Authority,2012,Male,Full Time,Residence Based,Median,618.1,Pounds (GBP)
S12000021,North Ayrshire,Local Authority,2010,Male,Full Time,Workplace Based,Median,550.2,Pounds (GBP)
S12000008,East Ayrshire,Local Authority,2012,Male,Full Time,Residence Based,Median,498.7,Pounds (GBP)
S12000035,Argyll and Bute,Local Authority,2012,Male,Full Time,Residence Based,Median,534,Pounds (GBP)
S12000013,Na h-Eileanan Siar,Local Authority,2010,Male,Full Time,Workplace Based,Mean,534,Pounds (GBP)
S12000013,Na h-Eileanan Siar,Local Authority,2010,Male,Full Time,Workplace Based,Median,465.2,Pounds (GBP)
S12000014,Falkirk,Local Authority,2010,Male,Full Time,Workplace Based,Median,506,Pounds (GBP)
S12000029,South Lanarkshire,Local Authority,2005,Male,Full Time,Residence Based,Mean,497.9,Pounds (GBP)
S12000036,City of Edinburgh,Local Authority,2012,Male,Full Time,Residence Based,Median,564.3,Pounds (GBP)
S12000036,City of Edinburgh,Local Authority,2012,Male,Full Time,Residence Based,Mean,692.6,Pounds (GBP)
S12000048,Perth and Kinross,Local Authority,2005,Male,Full Time,Residence Based,Mean,504.8,Pounds (GBP)
S12000030,Stirling,Local Authority,2019,Male,Full Time,Workplace Based,Mean,766.7,Pounds (GBP)
S12000048,Perth and Kinross,Local Authority,2005,Male,Full Time,Residence Based,Median,429,Pounds (GBP)
S12000042,Dundee City,Local Authority,2010,Male,Full Time,Workplace Based,Median,508.7,Pounds (GBP)
S12000019,Midlothian,Local Authority,2017,Male,Full Time,Workplace Based,Mean,655,Pounds (GBP)
S12000048,Perth and Kinross,Local Authority,2018,Male,Full Time,Workplace Based,Mean,639.2,Pounds (GBP)
S12000019,Midlothian,Local Authority,2017,Male,Full Time,Workplace Based,Median,596.1,Pounds (GBP)
S12000027,Shetland Islands,Local Authority,2005,Male,Full Time,Residence Based,Mean,524.2,Pounds (GBP)
S12000006,Dumfries and Galloway,Local Authority,2012,Male,Full Time,Residence Based,Median,464,Pounds (GBP)
S12000020,Moray,Local Authority,2017,Male,Full Time,Workplace Based,Median,510.1,Pounds (GBP)
S12000006,Dumfries and Galloway,Local Authority,2012,Male,Full Time,Residence Based,Mean,595.7,Pounds (GBP)
S12000047,Fife,Local Authority,2004,Male,Full Time,Workplace Based,Median,407.7,Pounds (GBP)
S12000011,East Renfrewshire,Local Authority,2004,Male,Full Time,Workplace Based,Mean,457.4,Pounds (GBP)
S12000036,City of Edinburgh,Local Authority,2015,Male,Part Time,Residence Based,Median,169.3,Pounds (GBP)
S12000029,South Lanarkshire,Local Authority,2005,Male,Full Time,Workplace Based,Mean,532.4,Pounds (GBP)
S12000019,Midlothian,Local Authority,2004,Male,Full Time,Workplace Based,Median,420.5,Pounds (GBP)
S12000008,East Ayrshire,Local Authority,2015,Male,Part Time,Residence Based,Mean,159.8,Pounds (GBP)
S12000006,Dumfries and Galloway,Local Authority,2015,Male,Part Time,Residence Based,Mean,168.6,Pounds (GBP)
S12000019,Midlothian,Local Authority,2004,Male,Full Time,Workplace Based,Mean,461.9,Pounds (GBP)
S12000010,East Lothian,Local Authority,2004,Male,Full Time,Workplace Based,Mean,460.5,Pounds (GBP)
S12000013,Na h-Eileanan Siar,Local Authority,2012,Male,Full Time,Residence Based,Median,448.5,Pounds (GBP)
S12000030,Stirling,Local Authority,2005,Male,Full Time,Workplace Based,Median,427.9,Pounds (GBP)
S12000020,Moray,Local Authority,2012,Male,Full Time,Residence Based,Median,549.5,Pounds (GBP)
S12000013,Na h-Eileanan Siar,Local Authority,2012,Male,Full Time,Residence Based,Mean,528.8,Pounds (GBP)
S12000047,Fife,Local Authority,2004,Male,Full Time,Workplace Based,Mean,476.1,Pounds (GBP)
S12000010,East Lothian,Local Authority,2004,Male,Full Time,Workplace Based,Median,371.8,Pounds (GBP)
S12000030,Stirling,Local Authority,2005,Male,Full Time,Workplace Based,Mean,495.8,Pounds (GBP)
S12000034,Aberdeenshire,Local Authority,2015,Male,Part Time,Residence Based,Mean,197.2,Pounds (GBP)
S12000029,South Lanarkshire,Local Authority,2005,Male,Full Time,Workplace Based,Median,461.9,Pounds (GBP)
S12000026,Scottish Borders,Local Authority,2004,Male,Full Time,Workplace Based,Mean,393.8,Pounds (GBP)
S12000014,Falkirk,Local Authority,2004,Male,Full Time,Workplace Based,Median,426.5,Pounds (GBP)
S12000027,Shetland Islands,Local Authority,2004,Male,Full Time,Workplace Based,Mean,496.6,Pounds (GBP)
S12000027,Shetland Islands,Local Authority,2004,Male,Full Time,Workplace Based,Median,460,Pounds (GBP)
S12000033,Aberdeen City,Local Authority,2015,Male,Part Time,Residence Based,Median,188.9,Pounds (GBP)
S12000014,Falkirk,Local Authority,2004,Male,Full Time,Workplace Based,Mean,466.5,Pounds (GBP)
S12000036,City of Edinburgh,Local Authority,2015,Male,Part Time,Residence Based,Mean,203.1,Pounds (GBP)
S12000038,Renfrewshire,Local Authority,2005,Male,Full Time,Workplace Based,Median,477.1,Pounds (GBP)
S12000011,East Renfrewshire,Local Authority,2004,Male,Full Time,Workplace Based,Median,384.5,Pounds (GBP)
S12000026,Scottish Borders,Local Authority,2004,Male,Full Time,Workplace Based,Median,353.9,Pounds (GBP)
S12000029,South Lanarkshire,Local Authority,2004,Male,Full Time,Workplace Based,Mean,506.7,Pounds (GBP)
S12000029,South Lanarkshire,Local Authority,2004,Male,Full Time,Workplace Based,Median,448.9,Pounds (GBP)
S12000033,Aberdeen City,Local Authority,2015,Male,Part Time,Residence Based,Mean,226.6,Pounds (GBP)
S12000013,Na h-Eileanan Siar,Local Authority,2005,Male,Full Time,Residence Based,Median,403.8,Pounds (GBP)
S12000045,East Dunbartonshire,Local Authority,2008,Male,Full Time,Workplace Based,Mean,525.5,Pounds (GBP)
S12000029,South Lanarkshire,Local Authority,2014,Male,Part Time,Residence Based,Median,150.6,Pounds (GBP)
S12000023,Orkney Islands,Local Authority,2012,Male,Full Time,Residence Based,Mean,570.6,Pounds (GBP)
S12000010,East Lothian,Local Authority,2008,Male,Full Time,Workplace Based,Mean,577.7,Pounds (GBP)
S12000010,East Lothian,Local Authority,2008,Male,Full Time,Workplace Based,Median,527.7,Pounds (GBP)
S12000020,Moray,Local Authority,2012,Male,Full Time,Residence Based,Mean,605.1,Pounds (GBP)
