area_code,reference_area,area_type,year,gender,working_pattern,population_group,measure_type,value,units
S12000034,Aberdeenshire,Local Authority,2002,All,Part Time,Workplace Based,Mean,123.7,Pounds (GBP)
S12000042,Dundee City,Local Authority,2004,All,All Patterns,Residence Based,Mean,331.6,Pounds (GBP)
S12000027,Shetland Islands,Local Authority,2001,All,Part Time,Workplace Based,Mean,151,Pounds (GBP)
S12000011,East Renfrewshire,Local Authority,1999,All,Part Time,Workplace Based,Mean,120.9,Pounds (GBP)
S12000038,Renfrewshire,Local Authority,2002,All,Part Time,Workplace Based,Mean,190.5,Pounds (GBP)
S12000014,Falkirk,Local Authority,1999,All,Part Time,Workplace Based,Median,99.7,Pounds (GBP)
S12000029,South Lanarkshire,Local Authority,2015,All,All Patterns,Workplace Based,Mean,469.2,Pounds (GBP)
S12000027,Shetland Islands,Local Authority,2002,All,Part Time,Workplace Based,Mean,143.6,Pounds (GBP)
S12000023,Orkney Islands,Local Authority,1999,All,All Patterns,Workplace Based,Median,258.1,Pounds (GBP)
S12000033,Aberdeen City,Local Authority,2003,All,Part Time,Residence Based,Mean,138.1,Pounds (GBP)
S12000047,Fife,Local Authority,2002,All,All Patterns,Workplace Based,Median,286,Pounds (GBP)
S12000034,Aberdeenshire,Local Authority,2002,All,Part Time,Workplace Based,Median,109,Pounds (GBP)
S12000045,East Dunbartonshire,Local Authority,2003,All,Part Time,Residence Based,Mean,166.1,Pounds (GBP)
S12000047,Fife,Local Authority,2003,All,Part Time,Residence Based,Mean,146.2,Pounds (GBP)
S12000035,Argyll and Bute,Local Authority,2004,All,Part Time,Residence Based,Mean,139,Pounds (GBP)
S12000020,Moray,Local Authority,2007,All,All Patterns,Residence Based,Mean,353.4,Pounds (GBP)
S12000047,Fife,Local Authority,2000,All,Part Time,Workplace Based,Mean,133.4,Pounds (GBP)
S12000020,Moray,Local Authority,2004,All,All Patterns,Residence Based,Mean,320.3,Pounds (GBP)
S12000017,Highland,Local Authority,2000,All,Part Time,Workplace Based,Mean,136.6,Pounds (GBP)
S12000034,Aberdeenshire,Local Authority,2000,All,Part Time,Workplace Based,Median,104.8,Pounds (GBP)
S12000013,Na h-Eileanan Siar,Local Authority,2007,All,All Patterns,Residence Based,Median,355.1,Pounds (GBP)
S12000008,East Ayrshire,Local Authority,2005,All,All Patterns,Residence Based,Mean,369.1,Pounds (GBP)
S12000035,Argyll and Bute,Local Authority,2000,All,Part Time,Workplace Based,Mean,118.7,Pounds (GBP)
S12000005,Clackmannanshire,Local Authority,2000,All,Part Time,Workplace Based,Mean,117.9,Pounds (GBP)
S12000035,Argyll and Bute,Local Authority,2001,All,Part Time,Workplace Based,Median,90,Pounds (GBP)
S12000036,City of Edinburgh,Local Authority,2000,All,Part Time,Workplace Based,Mean,134.2,Pounds (GBP)
S12000047,Fife,Local Authority,2000,All,Part Time,Workplace Based,Median,110.6,Pounds (GBP)
S12000047,Fife,Local Authority,2002,All,All Patterns,Residence Based,Mean,346.6,Pounds (GBP)
S12000014,Falkirk,Local Authority,2006,All,All Patterns,Residence Based,Mean,376.1,Pounds (GBP)
S12000034,Aberdeenshire,Local Authority,2003,All,All Patterns,Residence Based,Median,304.9,Pounds (GBP)
