FeatureCode,DateCode,Measurement,Units,Value,Business Demography
S12000035,2007,Count,De-Registrations,245,De-Registrations
S12000033,2007,Count,De-Registrations,665,De-Registrations
S12000034,2007,Count,De-Registrations,585,De-Registrations
S12000006,2007,Count,De-Registrations,280,De-Registrations
S12000042,2007,Count,De-Registrations,285,De-Registrations
S12000036,2007,Count,De-Registrations,1485,De-Registrations
S12000005,2007,Count,De-Registrations,85,De-Registrations
S12000029,2006,Count,De-Registrations,640,De-Registrations
S12000030,2006,Count,De-Registrations,255,De-Registrations
S12000027,2006,Count,De-Registrations,60,De-Registrations
S12000028,2006,Count,De-Registrations,300,De-Registrations
S12000040,2006,Count,De-Registrations,370,De-Registrations
S92000003,2007,Count,De-Registrations,12020,De-Registrations
S12000039,2006,Count,De-Registrations,135,De-Registrations
S12000020,2007,Count,De-Registrations,185,De-Registrations
S12000013,2007,Count,De-Registrations,55,De-Registrations
S12000018,2007,Count,De-Registrations,135,De-Registrations
S12000019,2007,Count,De-Registrations,165,De-Registrations
S12000023,2007,Count,De-Registrations,55,De-Registrations
S12000048,2007,Count,De-Registrations,405,De-Registrations
S12000021,2007,Count,De-Registrations,255,De-Registrations
S12000010,2007,Count,De-Registrations,205,De-Registrations
S12000011,2007,Count,De-Registrations,220,De-Registrations
S12000008,2007,Count,De-Registrations,225,De-Registrations
S12000045,2007,Count,De-Registrations,210,De-Registrations
S12000047,2007,Count,De-Registrations,685,De-Registrations
S12000017,2007,Count,De-Registrations,590,De-Registrations
S12000014,2007,Count,De-Registrations,270,De-Registrations
S12000036,2006,Count,De-Registrations,1440,De-Registrations
S12000005,2006,Count,De-Registrations,115,De-Registrations
S12000041,2006,Count,De-Registrations,235,De-Registrations
S12000035,2006,Count,De-Registrations,235,De-Registrations
S12000008,2006,Count,De-Registrations,240,De-Registrations
S12000045,2006,Count,De-Registrations,210,De-Registrations
S12000006,2006,Count,De-Registrations,370,De-Registrations
S12000042,2006,Count,De-Registrations,305,De-Registrations
S12000039,2005,Count,De-Registrations,135,De-Registrations
S12000040,2005,Count,De-Registrations,410,De-Registrations
S12000029,2005,Count,De-Registrations,735,De-Registrations
S12000030,2005,Count,De-Registrations,315,De-Registrations
S12000033,2006,Count,De-Registrations,735,De-Registrations
S12000034,2006,Count,De-Registrations,630,De-Registrations
S92000003,2006,Count,De-Registrations,12595,De-Registrations
S12000021,2006,Count,De-Registrations,265,De-Registrations
S12000023,2006,Count,De-Registrations,65,De-Registrations
S12000020,2006,Count,De-Registrations,170,De-Registrations
S12000013,2006,Count,De-Registrations,70,De-Registrations
S12000038,2006,Count,De-Registrations,390,De-Registrations
S12000026,2006,Count,De-Registrations,300,De-Registrations
S12000048,2006,Count,De-Registrations,415,De-Registrations
S12000014,2006,Count,De-Registrations,280,De-Registrations
S12000047,2006,Count,De-Registrations,720,De-Registrations
S12000010,2006,Count,De-Registrations,205,De-Registrations
S12000011,2006,Count,De-Registrations,190,De-Registrations
S12000018,2006,Count,De-Registrations,115,De-Registrations
S12000019,2006,Count,De-Registrations,160,De-Registrations
S12000017,2006,Count,De-Registrations,610,De-Registrations
S12000040,2008,Count,De-Registrations,390,De-Registrations
S92000003,2009,Count,De-Registrations,15085,De-Registrations
S12000030,2008,Count,De-Registrations,285,De-Registrations
S12000039,2008,Count,De-Registrations,130,De-Registrations
S12000041,2009,Count,De-Registrations,275,De-Registrations
S12000035,2009,Count,De-Registrations,295,De-Registrations
S12000033,2009,Count,De-Registrations,735,De-Registrations
S12000034,2009,Count,De-Registrations,785,De-Registrations
S12000038,2008,Count,De-Registrations,360,De-Registrations
S12000026,2008,Count,De-Registrations,335,De-Registrations
S12000023,2008,Count,De-Registrations,55,De-Registrations
S12000048,2008,Count,De-Registrations,400,De-Registrations
S12000028,2008,Count,De-Registrations,295,De-Registrations
S12000029,2008,Count,De-Registrations,690,De-Registrations
S12000027,2008,Count,De-Registrations,50,De-Registrations
S12000047,2009,Count,De-Registrations,875,De-Registrations
S12000017,2009,Count,De-Registrations,730,De-Registrations
S12000011,2009,Count,De-Registrations,260,De-Registrations
S12000014,2009,Count,De-Registrations,330,De-Registrations
S12000019,2009,Count,De-Registrations,190,De-Registrations
S12000020,2009,Count,De-Registrations,210,De-Registrations
S12000018,2009,Count,De-Registrations,175,De-Registrations
S12000006,2009,Count,De-Registrations,370,De-Registrations
S12000042,2009,Count,De-Registrations,320,De-Registrations
S12000036,2009,Count,De-Registrations,1740,De-Registrations
