area_code,reference_area,area_type,reference_period,indicator,value,units
S12000041,Angus,Local Authority,2006/2007,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),27.7,ktonnes
S12000041,Angus,Local Authority,2009/2010,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),19,ktonnes
S12000038,Renfrewshire,Local Authority,2008/2009,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),41.1,ktonnes
S12000038,Renfrewshire,Local Authority,2007/2008,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),43.4,ktonnes
S12000041,Angus,Local Authority,2005/2006,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),20.2,ktonnes
S12000038,Renfrewshire,Local Authority,2005/2006,Waste Arisings (Tonnes),102615,Tonnes
S12000038,Renfrewshire,Local Authority,2004/2005,Waste Arisings Per Capita (Kg),654,Kg Per Capita
S12000038,Renfrewshire,Local Authority,2009/2010,Waste Arisings (Tonnes),92298,Tonnes
S12000041,Angus,Local Authority,2008/2009,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),20.6,ktonnes
S12000041,Angus,Local Authority,2007/2008,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),20.8,ktonnes
S12000038,Renfrewshire,Local Authority,2006/2007,Waste Arisings (Tonnes),100498,Tonnes
S12000038,Renfrewshire,Local Authority,2009/2010,Waste Arisings Per Capita (Kg),543,Kg Per Capita
S12000038,Renfrewshire,Local Authority,2010/2011,Waste Arisings Per Capita (Kg),541,Kg Per Capita
S12000038,Renfrewshire,Local Authority,2004/2005,Waste Arisings (Tonnes),111501,Tonnes
S12000038,Renfrewshire,Local Authority,2007/2008,Waste Arisings (Tonnes),97805,Tonnes
S12000038,Renfrewshire,Local Authority,2010/2011,Waste Arisings (Tonnes),92123,Tonnes
S12000038,Renfrewshire,Local Authority,2008/2009,Waste Arisings (Tonnes),93023,Tonnes
S12000036,City of Edinburgh,Local Authority,2009/2010,Waste Arisings Per Capita (Kg),474,Kg Per Capita
S12000036,City of Edinburgh,Local Authority,2007/2008,Waste Arisings Per Capita (Kg),539,Kg Per Capita
S12000036,City of Edinburgh,Local Authority,2005/2006,Waste Arisings Per Capita (Kg),571,Kg Per Capita
S12000036,City of Edinburgh,Local Authority,2006/2007,Waste Arisings Per Capita (Kg),571,Kg Per Capita
S12000036,City of Edinburgh,Local Authority,2006/2007,Waste Arisings (Tonnes),264773,Tonnes
S12000036,City of Edinburgh,Local Authority,2008/2009,Waste Arisings Per Capita (Kg),514,Kg Per Capita
S12000041,Angus,Local Authority,2010/2011,Waste Arisings Per Capita (Kg),660,Kg Per Capita
S12000041,Angus,Local Authority,2011/2012,Waste Arisings Per Capita (Kg),680,Kg Per Capita
S12000041,Angus,Local Authority,2005/2006,Waste Arisings Per Capita (Kg),690,Kg Per Capita
S12000041,Angus,Local Authority,2007/2008,Waste Arisings Per Capita (Kg),712,Kg Per Capita
S12000036,City of Edinburgh,Local Authority,2004/2005,Waste Arisings Per Capita (Kg),585,Kg Per Capita
S12000041,Angus,Local Authority,2008/2009,Waste Arisings Per Capita (Kg),701,Kg Per Capita
S12000038,Renfrewshire,Local Authority,2006/2007,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),46.3,ktonnes
S12000038,Renfrewshire,Local Authority,2005/2006,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),50,ktonnes
S12000041,Angus,Local Authority,2004/2005,Waste Arisings Per Capita (Kg),713,Kg Per Capita
S12000038,Renfrewshire,Local Authority,2011/2012,Waste Arisings (Tonnes),90469,Tonnes
S12000041,Angus,Local Authority,2004/2005,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),25.6,ktonnes
S12000041,Angus,Local Authority,2009/2010,Waste Arisings Per Capita (Kg),696,Kg Per Capita
S12000036,City of Edinburgh,Local Authority,2007/2008,Waste Arisings (Tonnes),252078,Tonnes
S12000036,City of Edinburgh,Local Authority,2011/2012,Waste Arisings Per Capita (Kg),451,Kg Per Capita
S12000036,City of Edinburgh,Local Authority,2005/2006,Waste Arisings (Tonnes),261493,Tonnes
S12000036,City of Edinburgh,Local Authority,2004/2005,Waste Arisings (Tonnes),266614,Tonnes
S12000038,Renfrewshire,Local Authority,2004/2005,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),62.6,ktonnes
S12000036,City of Edinburgh,Local Authority,2010/2011,Waste Arisings Per Capita (Kg),456,Kg Per Capita
S12000030,Stirling,Local Authority,2009/2010,Waste Arisings Per Capita (Kg),580,Kg Per Capita
S12000030,Stirling,Local Authority,2006/2007,Waste Arisings Per Capita (Kg),650,Kg Per Capita
S12000030,Stirling,Local Authority,2007/2008,Waste Arisings Per Capita (Kg),622,Kg Per Capita
S12000030,Stirling,Local Authority,2010/2011,Waste Arisings Per Capita (Kg),579,Kg Per Capita
S12000030,Stirling,Local Authority,2004/2005,Waste Arisings Per Capita (Kg),698,Kg Per Capita
S12000030,Stirling,Local Authority,2005/2006,Waste Arisings Per Capita (Kg),691,Kg Per Capita
S12000030,Stirling,Local Authority,2011/2012,Waste Arisings (Tonnes),52973,Tonnes
S12000030,Stirling,Local Authority,2004/2005,Waste Arisings (Tonnes),60610,Tonnes
S12000030,Stirling,Local Authority,2011/2012,Waste Arisings Per Capita (Kg),584,Kg Per Capita
S12000030,Stirling,Local Authority,2006/2007,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),22.1,ktonnes
S12000030,Stirling,Local Authority,2005/2006,Waste Arisings (Tonnes),59813,Tonnes
S12000030,Stirling,Local Authority,2008/2009,Waste Arisings Per Capita (Kg),606,Kg Per Capita
S12000030,Stirling,Local Authority,2006/2007,Waste Arisings (Tonnes),57086,Tonnes
S12000033,Aberdeen City,Local Authority,2006/2007,Waste Arisings Per Capita (Kg),683,Kg Per Capita
S12000033,Aberdeen City,Local Authority,2007/2008,Waste Arisings Per Capita (Kg),662,Kg Per Capita
S12000042,Dundee City,Local Authority,2010/2011,Waste Arisings (Tonnes),94944,Tonnes
S12000033,Aberdeen City,Local Authority,2005/2006,Waste Arisings Per Capita (Kg),658,Kg Per Capita
S12000033,Aberdeen City,Local Authority,2009/2010,Waste Arisings Per Capita (Kg),580,Kg Per Capita
S12000033,Aberdeen City,Local Authority,2004/2005,Waste Arisings Per Capita (Kg),648,Kg Per Capita
S12000030,Stirling,Local Authority,2007/2008,Waste Arisings (Tonnes),54858,Tonnes
S12000030,Stirling,Local Authority,2010/2011,Waste Arisings (Tonnes),52051,Tonnes
S12000030,Stirling,Local Authority,2008/2009,Waste Arisings (Tonnes),53506,Tonnes
S12000042,Dundee City,Local Authority,2011/2012,Waste Arisings (Tonnes),98268,Tonnes
S12000042,Dundee City,Local Authority,2009/2010,Waste Arisings (Tonnes),95904,Tonnes
S12000030,Stirling,Local Authority,2009/2010,Waste Arisings (Tonnes),51429,Tonnes
S12000029,South Lanarkshire,Local Authority,2009/2010,Waste Arisings (Tonnes),189864,Tonnes
S12000029,South Lanarkshire,Local Authority,2008/2009,Waste Arisings (Tonnes),194746,Tonnes
S12000029,South Lanarkshire,Local Authority,2006/2007,Waste Arisings Per Capita (Kg),676,Kg Per Capita
S12000029,South Lanarkshire,Local Authority,2010/2011,Waste Arisings (Tonnes),177021,Tonnes
S12000029,South Lanarkshire,Local Authority,2005/2006,Waste Arisings (Tonnes),202703,Tonnes
S12000029,South Lanarkshire,Local Authority,2011/2012,Waste Arisings (Tonnes),175836,Tonnes
S12000029,South Lanarkshire,Local Authority,2008/2009,Waste Arisings Per Capita (Kg),628,Kg Per Capita
S12000029,South Lanarkshire,Local Authority,2009/2010,Waste Arisings Per Capita (Kg),611,Kg Per Capita
S12000029,South Lanarkshire,Local Authority,2004/2005,Waste Arisings Per Capita (Kg),669,Kg Per Capita
S12000029,South Lanarkshire,Local Authority,2011/2012,Waste Arisings Per Capita (Kg),562,Kg Per Capita
S12000029,South Lanarkshire,Local Authority,2005/2006,Waste Arisings Per Capita (Kg),662,Kg Per Capita
S12000029,South Lanarkshire,Local Authority,2004/2005,Waste Arisings (Tonnes),204205,Tonnes
S12000030,Stirling,Local Authority,2007/2008,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),19.8,ktonnes
S12000030,Stirling,Local Authority,2010/2011,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),15.6,ktonnes
S12000030,Stirling,Local Authority,2008/2009,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),18.3,ktonnes
S12000030,Stirling,Local Authority,2005/2006,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),24.3,ktonnes
S12000030,Stirling,Local Authority,2004/2005,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),24.6,ktonnes
S12000030,Stirling,Local Authority,2009/2010,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),16.7,ktonnes
S12000029,South Lanarkshire,Local Authority,2007/2008,Waste Arisings (Tonnes),204490,Tonnes
S12000029,South Lanarkshire,Local Authority,2006/2007,Waste Arisings (Tonnes),207966,Tonnes
S12000029,South Lanarkshire,Local Authority,2007/2008,Waste Arisings Per Capita (Kg),661,Kg Per Capita
S12000042,Dundee City,Local Authority,2006/2007,Waste Arisings (Tonnes),92345,Tonnes
S12000042,Dundee City,Local Authority,2007/2008,Waste Arisings (Tonnes),95351,Tonnes
S12000042,Dundee City,Local Authority,2008/2009,Waste Arisings (Tonnes),93956,Tonnes
S12000034,Aberdeenshire,Local Authority,2006/2007,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),69.2,ktonnes
S12000034,Aberdeenshire,Local Authority,2006/2007,Waste Arisings (Tonnes),143342,Tonnes
S12000034,Aberdeenshire,Local Authority,2005/2006,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),81.1,ktonnes
S12000034,Aberdeenshire,Local Authority,2004/2005,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),83.7,ktonnes
S12000034,Aberdeenshire,Local Authority,2004/2005,Waste Arisings (Tonnes),150666,Tonnes
S12000034,Aberdeenshire,Local Authority,2005/2006,Waste Arisings (Tonnes),155123,Tonnes
S12000034,Aberdeenshire,Local Authority,2007/2008,Waste Arisings (Tonnes),153731,Tonnes
S12000042,Dundee City,Local Authority,2006/2007,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),13.1,ktonnes
S12000034,Aberdeenshire,Local Authority,2008/2009,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),68.4,ktonnes
S12000033,Aberdeen City,Local Authority,2007/2008,Waste Arisings (Tonnes),138459,Tonnes
S12000034,Aberdeenshire,Local Authority,2010/2011,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),68.8,ktonnes
S12000034,Aberdeenshire,Local Authority,2009/2010,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),65.9,ktonnes
S12000034,Aberdeenshire,Local Authority,2007/2008,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),70.3,ktonnes
S12000034,Aberdeenshire,Local Authority,2005/2006,Waste Arisings Per Capita (Kg),656,Kg Per Capita
S12000034,Aberdeenshire,Local Authority,2010/2011,Waste Arisings Per Capita (Kg),627,Kg Per Capita
S12000034,Aberdeenshire,Local Authority,2004/2005,Waste Arisings Per Capita (Kg),652,Kg Per Capita
S12000034,Aberdeenshire,Local Authority,2008/2009,Waste Arisings Per Capita (Kg),623,Kg Per Capita
S12000034,Aberdeenshire,Local Authority,2009/2010,Waste Arisings Per Capita (Kg),620,Kg Per Capita
S12000034,Aberdeenshire,Local Authority,2011/2012,Waste Arisings Per Capita (Kg),595,Kg Per Capita
S12000034,Aberdeenshire,Local Authority,2011/2012,Waste Arisings (Tonnes),147340,Tonnes
S12000034,Aberdeenshire,Local Authority,2008/2009,Waste Arisings (Tonnes),150372,Tonnes
S12000034,Aberdeenshire,Local Authority,2010/2011,Waste Arisings (Tonnes),154164,Tonnes
S12000034,Aberdeenshire,Local Authority,2006/2007,Waste Arisings Per Capita (Kg),607,Kg Per Capita
S12000034,Aberdeenshire,Local Authority,2007/2008,Waste Arisings Per Capita (Kg),643,Kg Per Capita
S12000034,Aberdeenshire,Local Authority,2009/2010,Waste Arisings (Tonnes),151010,Tonnes
S12000033,Aberdeen City,Local Authority,2010/2011,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),49.3,ktonnes
S12000033,Aberdeen City,Local Authority,2008/2009,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),63.3,ktonnes
S12000033,Aberdeen City,Local Authority,2009/2010,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),55.7,ktonnes
S12000042,Dundee City,Local Authority,2007/2008,Waste Arisings Per Capita (Kg),671,Kg Per Capita
S12000042,Dundee City,Local Authority,2008/2009,Waste Arisings Per Capita (Kg),659,Kg Per Capita
S12000042,Dundee City,Local Authority,2009/2010,Waste Arisings Per Capita (Kg),669,Kg Per Capita
S12000033,Aberdeen City,Local Authority,2008/2009,Waste Arisings Per Capita (Kg),628,Kg Per Capita
S12000033,Aberdeen City,Local Authority,2004/2005,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),74.9,ktonnes
S12000033,Aberdeen City,Local Authority,2010/2011,Waste Arisings Per Capita (Kg),544,Kg Per Capita
S12000033,Aberdeen City,Local Authority,2006/2007,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),69.9,ktonnes
S12000033,Aberdeen City,Local Authority,2005/2006,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),68.9,ktonnes
S12000033,Aberdeen City,Local Authority,2007/2008,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),67.3,ktonnes
S12000033,Aberdeen City,Local Authority,2006/2007,Waste Arisings (Tonnes),141296,Tonnes
S12000033,Aberdeen City,Local Authority,2011/2012,Waste Arisings Per Capita (Kg),520,Kg Per Capita
S12000033,Aberdeen City,Local Authority,2005/2006,Waste Arisings (Tonnes),133675,Tonnes
S12000042,Dundee City,Local Authority,2010/2011,Waste Arisings Per Capita (Kg),658,Kg Per Capita
S12000042,Dundee City,Local Authority,2011/2012,Waste Arisings Per Capita (Kg),675,Kg Per Capita
S12000033,Aberdeen City,Local Authority,2004/2005,Waste Arisings (Tonnes),131339,Tonnes
S12000042,Dundee City,Local Authority,2005/2006,Waste Arisings (Tonnes),95416,Tonnes
S12000033,Aberdeen City,Local Authority,2009/2010,Waste Arisings (Tonnes),123966,Tonnes
S12000042,Dundee City,Local Authority,2004/2005,Waste Arisings (Tonnes),99324,Tonnes
S12000033,Aberdeen City,Local Authority,2011/2012,Waste Arisings (Tonnes),114619,Tonnes
S12000033,Aberdeen City,Local Authority,2010/2011,Waste Arisings (Tonnes),118049,Tonnes
S12000033,Aberdeen City,Local Authority,2008/2009,Waste Arisings (Tonnes),132078,Tonnes
S12000006,Dumfries and Galloway,Local Authority,2004/2005,Waste Arisings (Tonnes),108974,Tonnes
S12000006,Dumfries and Galloway,Local Authority,2008/2009,Waste Arisings Per Capita (Kg),637,Kg Per Capita
S12000006,Dumfries and Galloway,Local Authority,2011/2012,Waste Arisings Per Capita (Kg),638,Kg Per Capita
S12000006,Dumfries and Galloway,Local Authority,2010/2011,Waste Arisings Per Capita (Kg),640,Kg Per Capita
S12000006,Dumfries and Galloway,Local Authority,2008/2009,Waste Arisings (Tonnes),94697,Tonnes
S12000006,Dumfries and Galloway,Local Authority,2007/2008,Waste Arisings (Tonnes),100349,Tonnes
S12000006,Dumfries and Galloway,Local Authority,2009/2010,Waste Arisings Per Capita (Kg),630,Kg Per Capita
S12000006,Dumfries and Galloway,Local Authority,2006/2007,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),45.5,ktonnes
S12000006,Dumfries and Galloway,Local Authority,2004/2005,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),67.3,ktonnes
S12000006,Dumfries and Galloway,Local Authority,2005/2006,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),58.3,ktonnes
S12000006,Dumfries and Galloway,Local Authority,2009/2010,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),23,ktonnes
S12000006,Dumfries and Galloway,Local Authority,2007/2008,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),37,ktonnes
S12000006,Dumfries and Galloway,Local Authority,2008/2009,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),24.6,ktonnes
S12000006,Dumfries and Galloway,Local Authority,2007/2008,Waste Arisings Per Capita (Kg),677,Kg Per Capita
S12000006,Dumfries and Galloway,Local Authority,2004/2005,Waste Arisings Per Capita (Kg),754,Kg Per Capita
S12000006,Dumfries and Galloway,Local Authority,2006/2007,Waste Arisings Per Capita (Kg),690,Kg Per Capita
S12000008,East Ayrshire,Local Authority,2010/2011,Waste Arisings Per Capita (Kg),574,Kg Per Capita
S12000008,East Ayrshire,Local Authority,2011/2012,Waste Arisings Per Capita (Kg),618,Kg Per Capita
S12000006,Dumfries and Galloway,Local Authority,2005/2006,Waste Arisings Per Capita (Kg),690,Kg Per Capita
S12000006,Dumfries and Galloway,Local Authority,2005/2006,Waste Arisings (Tonnes),102379,Tonnes
S12000006,Dumfries and Galloway,Local Authority,2006/2007,Waste Arisings (Tonnes),102130,Tonnes
S12000006,Dumfries and Galloway,Local Authority,2009/2010,Waste Arisings (Tonnes),93594,Tonnes
S12000049,Glasgow City,Local Authority,2007/2008,Waste Arisings (Tonnes),363041,Tonnes
S12000006,Dumfries and Galloway,Local Authority,2010/2011,Waste Arisings (Tonnes),94864,Tonnes
S12000006,Dumfries and Galloway,Local Authority,2011/2012,Waste Arisings (Tonnes),94477,Tonnes
S12000005,Clackmannanshire,Local Authority,2005/2006,Waste Arisings Per Capita (Kg),758,Kg Per Capita
S12000005,Clackmannanshire,Local Authority,2004/2005,Waste Arisings Per Capita (Kg),716,Kg Per Capita
S12000005,Clackmannanshire,Local Authority,2010/2011,Waste Arisings Per Capita (Kg),620,Kg Per Capita
S12000005,Clackmannanshire,Local Authority,2006/2007,Waste Arisings Per Capita (Kg),777,Kg Per Capita
S12000005,Clackmannanshire,Local Authority,2008/2009,Waste Arisings (Tonnes),33533,Tonnes
S12000005,Clackmannanshire,Local Authority,2007/2008,Waste Arisings Per Capita (Kg),713,Kg Per Capita
S12000005,Clackmannanshire,Local Authority,2006/2007,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),15.8,ktonnes
S12000005,Clackmannanshire,Local Authority,2005/2006,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),16,ktonnes
S12000049,Glasgow City,Local Authority,2009/2010,Waste Arisings (Tonnes),326987,Tonnes
S12000005,Clackmannanshire,Local Authority,2008/2009,Waste Arisings Per Capita (Kg),664,Kg Per Capita
S12000005,Clackmannanshire,Local Authority,2011/2012,Waste Arisings Per Capita (Kg),611,Kg Per Capita
S12000005,Clackmannanshire,Local Authority,2009/2010,Waste Arisings Per Capita (Kg),629,Kg Per Capita
S12000049,Glasgow City,Local Authority,2010/2011,Waste Arisings (Tonnes),334906,Tonnes
S12000006,Dumfries and Galloway,Local Authority,2010/2011,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),20.8,ktonnes
S12000049,Glasgow City,Local Authority,2011/2012,Waste Arisings (Tonnes),304254,Tonnes
S12000049,Glasgow City,Local Authority,2005/2006,Waste Arisings (Tonnes),397880,Tonnes
S12000049,Glasgow City,Local Authority,2008/2009,Waste Arisings (Tonnes),347262,Tonnes
S12000049,Glasgow City,Local Authority,2006/2007,Waste Arisings (Tonnes),369025,Tonnes
S12000005,Clackmannanshire,Local Authority,2010/2011,Waste Arisings (Tonnes),31367,Tonnes
S12000005,Clackmannanshire,Local Authority,2009/2010,Waste Arisings (Tonnes),31767,Tonnes
S12000005,Clackmannanshire,Local Authority,2007/2008,Waste Arisings (Tonnes),35578,Tonnes
S12000005,Clackmannanshire,Local Authority,2004/2005,Waste Arisings (Tonnes),34980,Tonnes
S12000005,Clackmannanshire,Local Authority,2006/2007,Waste Arisings (Tonnes),38004,Tonnes
S12000005,Clackmannanshire,Local Authority,2005/2006,Waste Arisings (Tonnes),36990,Tonnes
S12000049,Glasgow City,Local Authority,2010/2011,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),153.8,ktonnes
S12000049,Glasgow City,Local Authority,2005/2006,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),185,ktonnes
S12000010,East Lothian,Local Authority,2004/2005,Waste Arisings (Tonnes),64819,Tonnes
S12000049,Glasgow City,Local Authority,2004/2005,Waste Arisings Per Capita (Kg),613,Kg Per Capita
S12000049,Glasgow City,Local Authority,2007/2008,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),180.4,ktonnes
S12000049,Glasgow City,Local Authority,2006/2007,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),187.3,ktonnes
S12000049,Glasgow City,Local Authority,2004/2005,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),198.1,ktonnes
S12000010,East Lothian,Local Authority,2006/2007,Waste Arisings (Tonnes),67689,Tonnes
S12000010,East Lothian,Local Authority,2010/2011,Waste Arisings Per Capita (Kg),636,Kg Per Capita
S12000010,East Lothian,Local Authority,2008/2009,Waste Arisings (Tonnes),68182,Tonnes
S12000010,East Lothian,Local Authority,2009/2010,Waste Arisings Per Capita (Kg),681,Kg Per Capita
S12000010,East Lothian,Local Authority,2005/2006,Waste Arisings (Tonnes),64331,Tonnes
S12000010,East Lothian,Local Authority,2011/2012,Waste Arisings Per Capita (Kg),638,Kg Per Capita
S12000010,East Lothian,Local Authority,2010/2011,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),21,ktonnes
S12000010,East Lothian,Local Authority,2007/2008,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),28.3,ktonnes
S12000010,East Lothian,Local Authority,2005/2006,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),29.2,ktonnes
S12000010,East Lothian,Local Authority,2006/2007,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),28.7,ktonnes
S12000010,East Lothian,Local Authority,2007/2008,Waste Arisings Per Capita (Kg),741,Kg Per Capita
S12000010,East Lothian,Local Authority,2008/2009,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),26.2,ktonnes
S12000010,East Lothian,Local Authority,2011/2012,Waste Arisings (Tonnes),62617,Tonnes
S12000010,East Lothian,Local Authority,2009/2010,Waste Arisings (Tonnes),65953,Tonnes
S12000010,East Lothian,Local Authority,2010/2011,Waste Arisings (Tonnes),61986,Tonnes
S12000049,Glasgow City,Local Authority,2009/2010,Waste Arisings Per Capita (Kg),556,Kg Per Capita
S12000010,East Lothian,Local Authority,2004/2005,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),32.3,ktonnes
S12000049,Glasgow City,Local Authority,2010/2011,Waste Arisings Per Capita (Kg),565,Kg Per Capita
S12000008,East Ayrshire,Local Authority,2007/2008,Waste Arisings Per Capita (Kg),617,Kg Per Capita
S12000008,East Ayrshire,Local Authority,2011/2012,Waste Arisings (Tonnes),74296,Tonnes
S12000008,East Ayrshire,Local Authority,2008/2009,Waste Arisings Per Capita (Kg),600,Kg Per Capita
S12000049,Glasgow City,Local Authority,2009/2010,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),153.1,ktonnes
S12000049,Glasgow City,Local Authority,2008/2009,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),166.4,ktonnes
S12000008,East Ayrshire,Local Authority,2010/2011,Waste Arisings (Tonnes),69069,Tonnes
S12000008,East Ayrshire,Local Authority,2005/2006,Waste Arisings (Tonnes),71776,Tonnes
S12000008,East Ayrshire,Local Authority,2004/2005,Waste Arisings (Tonnes),80742,Tonnes
S12000008,East Ayrshire,Local Authority,2009/2010,Waste Arisings Per Capita (Kg),598,Kg Per Capita
S12000008,East Ayrshire,Local Authority,2006/2007,Waste Arisings Per Capita (Kg),620,Kg Per Capita
S12000008,East Ayrshire,Local Authority,2004/2005,Waste Arisings Per Capita (Kg),675,Kg Per Capita
S12000008,East Ayrshire,Local Authority,2005/2006,Waste Arisings Per Capita (Kg),698,Kg Per Capita
S12000008,East Ayrshire,Local Authority,2005/2006,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),36.1,ktonnes
S12000008,East Ayrshire,Local Authority,2008/2009,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),26,ktonnes
S12000008,East Ayrshire,Local Authority,2006/2007,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),29.9,ktonnes
S12000008,East Ayrshire,Local Authority,2009/2010,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),25.6,ktonnes
S12000010,East Lothian,Local Authority,2007/2008,Waste Arisings (Tonnes),69978,Tonnes
S12000008,East Ayrshire,Local Authority,2007/2008,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),26.6,ktonnes
S12000008,East Ayrshire,Local Authority,2006/2007,Waste Arisings (Tonnes),73976,Tonnes
S12000008,East Ayrshire,Local Authority,2009/2010,Waste Arisings (Tonnes),71905,Tonnes
S12000008,East Ayrshire,Local Authority,2007/2008,Waste Arisings (Tonnes),73808,Tonnes
S12000008,East Ayrshire,Local Authority,2004/2005,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),43,ktonnes
S12000008,East Ayrshire,Local Authority,2010/2011,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),24.2,ktonnes
S12000008,East Ayrshire,Local Authority,2008/2009,Waste Arisings (Tonnes),71931,Tonnes
S12000040,West Lothian,Local Authority,2010/2011,Waste Arisings (Tonnes),109783,Tonnes
S12000040,West Lothian,Local Authority,2004/2005,Waste Arisings (Tonnes),109265,Tonnes
S12000040,West Lothian,Local Authority,2008/2009,Waste Arisings (Tonnes),110520,Tonnes
S12000040,West Lothian,Local Authority,2009/2010,Waste Arisings (Tonnes),108936,Tonnes
S12000040,West Lothian,Local Authority,2011/2012,Waste Arisings Per Capita (Kg),648,Kg Per Capita
S12000040,West Lothian,Local Authority,2007/2008,Waste Arisings (Tonnes),109635,Tonnes
S12000040,West Lothian,Local Authority,2005/2006,Waste Arisings (Tonnes),111374,Tonnes
S12000039,West Dunbartonshire,Local Authority,2007/2008,Waste Arisings Per Capita (Kg),659,Kg Per Capita
S12000039,West Dunbartonshire,Local Authority,2004/2005,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),37.6,ktonnes
S12000039,West Dunbartonshire,Local Authority,2010/2011,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),18.2,ktonnes
S12000039,West Dunbartonshire,Local Authority,2006/2007,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),27.1,ktonnes
S12000039,West Dunbartonshire,Local Authority,2005/2006,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),30.9,ktonnes
S12000039,West Dunbartonshire,Local Authority,2006/2007,Waste Arisings Per Capita (Kg),666,Kg Per Capita
S12000040,West Lothian,Local Authority,2009/2010,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),33.9,ktonnes
S12000040,West Lothian,Local Authority,2010/2011,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),35,ktonnes
S12000040,West Lothian,Local Authority,2005/2006,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),45.8,ktonnes
S12000040,West Lothian,Local Authority,2008/2009,Waste Arisings Per Capita (Kg),652,Kg Per Capita
S12000040,West Lothian,Local Authority,2007/2008,Waste Arisings Per Capita (Kg),653,Kg Per Capita
S12000040,West Lothian,Local Authority,2008/2009,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),35.2,ktonnes
S12000040,West Lothian,Local Authority,2011/2012,Waste Arisings (Tonnes),112110,Tonnes
S12000050,North Lanarkshire,Local Authority,2009/2010,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),71.6,ktonnes
S12000040,West Lothian,Local Authority,2006/2007,Waste Arisings (Tonnes),112912,Tonnes
